cpus=4
          stress-2707  [001]  9231.160330321:          sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2713  [001]  9231.714892430: (+7993259) sched_switch:         stress:2713 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9231.722890078: (+7997648) sched_switch:         stress:2714 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9231.730890967: (+8000889) sched_switch:         stress:2716 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9231.738897300: (+8006333) sched_switch:         stress:2713 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9231.746902152: (+8004852) sched_switch:         stress:2714 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9231.754897022: (+7994870) sched_switch:         stress:2716 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9231.762908707: (+8011685) sched_switch:         stress:2713 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9231.770914207: (+8005500) sched_switch:         stress:2714 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9231.778903337: (+7989130) sched_switch:         stress:2716 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9231.786907041: (+8003704) sched_switch:         stress:2713 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9231.786985670: (+78629) sched_switch:         stress:2716 [120] D ==> stress:2714 [120]
          stress-2714  [001]  9231.787012578: (+26908) sched_switch:         stress:2714 [120] D ==> stress:2713 [120]
          stress-2713  [001]  9231.795607967: (+8595389) sched_wakeup:         stress:2716 [120]<CANT FIND FIELD success> CPU:001
          stress-2713  [001]  9231.795611393: (+3426)  sched_switch:         stress:2713 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9231.795618818: (+7425)  sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2716  [001]  9231.802909893: (+7291075) sched_switch:         stress:2716 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9231.810912022: (+8002129) sched_switch:         stress:2714 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9231.810923633: (+11611) sched_switch:         stress:2716 [120] D ==> stress:2714 [120]
          stress-2714  [001]  9231.810934763: (+11130) sched_switch:         stress:2714 [120] D ==> stress:2713 [120]
          stress-2713  [001]  9231.814947300: (+4012537) sched_wakeup:         kworker/1:0:2611 [120]<CANT FIND FIELD success> CPU:001
          stress-2713  [001]  9231.814959485: (+12185) sched_switch:         stress:2713 [120] R ==> kworker/1:0:2611 [120]
     kworker/1:0-2611  [001]  9231.815037078: (+77593) sched_switch:         kworker/1:0:2611 [120] D ==> stress:2713 [120]
          stress-2713  [001]  9231.815056818: (+19740) sched_wakeup:         kworker/1:0:2611 [120]<CANT FIND FIELD success> CPU:001
          stress-2713  [001]  9231.815060226: (+3408)  sched_switch:         stress:2713 [120] R ==> kworker/1:0:2611 [120]
     kworker/1:0-2611  [001]  9231.815084800: (+24574) sched_switch:         kworker/1:0:2611 [120] W ==> stress:2713 [120]
          stress-2713  [001]  9231.818962578: (+3877778) sched_wakeup:         stress:2716 [120]<CANT FIND FIELD success> CPU:001
          stress-2713  [001]  9231.818968967: (+6389)  sched_switch:         stress:2713 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9231.818982355: (+13388) sched_wakeup:         stress:2714 [120]<CANT FIND FIELD success> CPU:001
          stress-2716  [001]  9231.826915874: (+7933519) sched_switch:         stress:2716 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9231.834927504: (+8011630) sched_switch:         stress:2714 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9231.842922059: (+7994555) sched_switch:         stress:2716 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9231.850946503: (+8024444) sched_switch:         stress:2714 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9231.858930670: (+7984167) sched_switch:         stress:2713 [120] R ==> stress:2711 [120]
          stress-2711  [001]  9231.866927133: (+7996463) sched_switch:         stress:2711 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9231.874927744: (+8000611) sched_switch:         stress:2716 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9231.882966966: (+8039222) sched_switch:         stress:2714 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9231.890935281: (+7968315) sched_switch:         stress:2713 [120] R ==> stress:2711 [120]
          stress-2711  [001]  9231.898937800: (+8002519) sched_switch:         stress:2711 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9231.906951577: (+8013777) sched_switch:         stress:2716 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9231.914949929: (+7998352) sched_switch:         stress:2714 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9231.922938799: (+7988870) sched_switch:         stress:2713 [120] R ==> stress:2711 [120]
          stress-2711  [001]  9231.930953966: (+8015167) sched_switch:         stress:2711 [120] R ==> stress:2716 [120]
          stress-2716  [001]  9231.938944559: (+7990593) sched_switch:         stress:2716 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9231.942970485: (+4025926) sched_wakeup:         kworker/1:0:2611 [120]<CANT FIND FIELD success> CPU:001
          stress-2714  [001]  9231.942980318: (+9833)  sched_switch:         stress:2714 [120] R ==> kworker/1:0:2611 [120]
     kworker/1:0-2611  [001]  9231.943007262: (+26944) sched_switch:         kworker/1:0:2611 [120] W ==> stress:2713 [120]
          stress-2713  [001]  9231.950951633: (+7944371) sched_switch:         stress:2713 [120] R ==> stress:2711 [120]
          stress-2711  [001]  9231.958964003: (+8012370) sched_switch:         stress:2711 [120] R ==> stress:2714 [120]
          stress-2714  [001]  9231.966951707: (+7987704) sched_switch:         stress:2714 [120] R ==> stress:2713 [120]
          stress-2713  [001]  9231.974956855: (+8005148) sched_switch:         stress:2713 [120] R ==> stress:2711 [120]
          stress-2711  [001]  9231.982967429: (+8010574) sched_switch:         stress:2711 [120] R ==> stress:2714 [120]
