cpus=4
          stress-2710  [002]  9231.160293599:          sched_wakeup:         kworker/u8:2:2035 [120]<CANT FIND FIELD success> CPU:002
          stress-2709  [002]  9231.345171394: (+6370)  sched_switch:         stress:2709 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9231.345189561: (+18167) sched_switch:         ngrok:515 [120] S ==> stress:2711 [120]
          stress-2711  [002]  9231.345913265: (+723704) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
          stress-2711  [002]  9231.345918505: (+5240)  sched_switch:         stress:2711 [120] R ==> ngrok:552 [120]
           ngrok-552   [002]  9231.345944357: (+25852) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
           ngrok-552   [002]  9231.345969302: (+24945) sched_switch:         ngrok:552 [120] S ==> ngrok:555 [120]
           ngrok-555   [002]  9231.345986820: (+17518) sched_switch:         ngrok:555 [120] S ==> stress:2709 [120]
          stress-2709  [002]  9231.350807098: (+4820278) sched_switch:         stress:2709 [120] R ==> stress:2711 [120]
          stress-2711  [002]  9231.355248709: (+4441611) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-2711  [002]  9231.355254302: (+5593)  sched_switch:         stress:2711 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9231.355276728: (+22426) sched_switch:         ngrok:515 [120] S ==> stress:2712 [120]
          stress-2712  [002]  9231.362809135: (+7532407) sched_switch:         stress:2712 [120] R ==> stress:2710 [120]
          stress-2710  [002]  9231.370797098: (+7987963) sched_switch:         stress:2710 [120] R ==> stress:2709 [120]
          stress-2709  [002]  9231.378827542: (+8030444) sched_wakeup:         kworker/u8:2:2035 [120]<CANT FIND FIELD success> CPU:002
          stress-2709  [002]  9231.378834376: (+6834)  sched_switch:         stress:2709 [120] R ==> kworker/u8:2:2035 [120]
    kworker/u8:2-2035  [002]  9231.378850042: (+15666) sched_switch:         kworker/u8:2:2035 [120] W ==> stress:2711 [120]
          stress-2711  [002]  9231.378897209: (+47167) sched_switch:         stress:2711 [120] D ==> stress:2712 [120]
          stress-2712  [002]  9231.386814468: (+7917259) sched_switch:         stress:2712 [120] R ==> stress:2710 [120]
          stress-2710  [002]  9231.390822561: (+4008093) sched_wakeup:         stress:2711 [120]<CANT FIND FIELD success> CPU:002
          stress-2710  [002]  9231.390826042: (+3481)  sched_switch:         stress:2710 [120] R ==> stress:2711 [120]
          stress-2711  [002]  9231.390843727: (+17685) sched_switch:         stress:2711 [120] D ==> stress:2709 [120]
          stress-2709  [002]  9231.394879450: (+4035723) sched_wakeup:         stress:2711 [120]<CANT FIND FIELD success> CPU:002
          stress-2709  [002]  9231.394884579: (+5129)  sched_switch:         stress:2709 [120] R ==> stress:2711 [120]
          stress-2711  [002]  9231.394921283: (+36704) sched_switch:         stress:2711 [120] D ==> stress:2710 [120]
          stress-2710  [002]  9231.394945709: (+24426) sched_wakeup:         stress:2711 [120]<CANT FIND FIELD success> CPU:002
          stress-2710  [002]  9231.394948209: (+2500)  sched_switch:         stress:2710 [120] R ==> stress:2711 [120]
          stress-2711  [002]  9231.395031301: (+83092) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
          stress-2711  [002]  9231.395036913: (+5612)  sched_switch:         stress:2711 [120] R ==> ngrok:552 [120]
           ngrok-552   [002]  9231.395079579: (+42666) sched_switch:         ngrok:552 [120] S ==> stress:2711 [120]
          stress-2711  [002]  9231.395175413: (+95834) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-2711  [002]  9231.395180209: (+4796)  sched_switch:         stress:2711 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9231.395197339: (+17130) sched_switch:         ngrok:515 [120] S ==> stress:2711 [120]
          stress-2711  [002]  9231.396125450: (+928111) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
          stress-2711  [002]  9231.396129801: (+4351)  sched_switch:         stress:2711 [120] R ==> ngrok:552 [120]
           ngrok-552   [002]  9231.396159227: (+29426) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
           ngrok-552   [002]  9231.396182320: (+23093) sched_switch:         ngrok:552 [120] S ==> ngrok:555 [120]
           ngrok-555   [002]  9231.396204042: (+21722) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
