cpus=4
       trace-cmd-3101  [000] 14509.398985723:          sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14510.627011959: (+10296) sched_switch:         kworker/0:1H:67 [100] W ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.667839588: (+40827629) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14510.667845107: (+5519)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14510.667882236: (+37129) sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.718044144: (+50161908) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14510.718048755: (+4611)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14510.718057644: (+8889)  sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.742452181: (+24394537) sched_switch:         swapper/0:0 [120] R ==> trace-cmd:3101 [120]
       trace-cmd-3101  [000] 14510.746717681: (+4265500) sched_switch:         trace-cmd:3101 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.768223199: (+21505518) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14510.768229218: (+6019)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14510.768264644: (+35426) sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.818435014: (+50170370) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14510.818439717: (+4703)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14510.818449921: (+10204) sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.865282180: (+46832259) sched_switch:         swapper/0:0 [120] R ==> trace-cmd:3101 [120]
       trace-cmd-3101  [000] 14510.868640162: (+3357982) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
       trace-cmd-3101  [000] 14510.868647088: (+6926)  sched_switch:         trace-cmd:3101 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14510.868679902: (+32814) sched_switch:         ngrok:555 [120] S ==> trace-cmd:3101 [120]
       trace-cmd-3101  [000] 14510.869648143: (+968241) sched_switch:         trace-cmd:3101 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.916727791: (+47079648) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14510.916735180: (+7389)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14510.916763661: (+28481) sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.917809717: (+1046056) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14510.917814717: (+5000)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14510.917855958: (+41241) sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.966903383: (+49047425) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14510.966908902: (+5519)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14510.966925087: (+16185) sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.967973328: (+1048241) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14510.967978254: (+4926)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14510.968005550: (+27296) sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.968022458: (+16908) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14510.968026865: (+4407)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14510.968054402: (+27537) sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14510.986676346: (+18621944) sched_switch:         swapper/0:0 [120] R ==> trace-cmd:3101 [120]
       trace-cmd-3101  [000] 14510.990875957: (+4199611) sched_switch:         trace-cmd:3101 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14511.017110902: (+26234945) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14511.017117828: (+6926)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14511.017152143: (+34315) sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14511.018198939: (+1046796) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14511.018203828: (+4889)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14511.018246402: (+42574) sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14511.067297253: (+49050851) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14511.067302920: (+5667)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14511.067321031: (+18111) sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14511.068369013: (+1047982) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14511.068373957: (+4944)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14511.068404179: (+30222) sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14511.068416772: (+12593) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14511.068421291: (+4519)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14511.068448142: (+26851) sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14511.109027087: (+40578945) sched_switch:         swapper/0:0 [120] R ==> trace-cmd:3101 [120]
       trace-cmd-3101  [000] 14511.109405624: (+378537) sched_wakeup:         kworker/0:0:2872 [120]<CANT FIND FIELD success> CPU:000
       trace-cmd-3101  [000] 14511.109421494: (+15870) sched_switch:         trace-cmd:3101 [120] R ==> kworker/0:0:2872 [120]
     kworker/0:0-2872  [000] 14511.109445568: (+24074) sched_switch:         kworker/0:0:2872 [120] W ==> trace-cmd:3101 [120]
       trace-cmd-3101  [000] 14511.113319327: (+3873759) sched_switch:         trace-cmd:3101 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14511.117513957: (+4194630) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14511.117523957: (+10000) sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14511.117561013: (+37056) sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000] 14511.118606809: (+1045796) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
