cpus=4
           <...>-2531  [002]  9142.036972161:          sched_switch:         trace-cmd:2531 [120] S ==> trace-cmd:2532 [120]
     kworker/2:1-2180  [002]  9142.534976474: (+27204) sched_switch:         kworker/2:1:2180 [120] W ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.536771011: (+1794537) sched_wakeup:         trace-cmd:2532 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9142.536775659: (+4648)  sched_switch:         swapper/2:0 [120] R ==> trace-cmd:2532 [120]
       trace-cmd-2532  [002]  9142.541008140: (+4232481) sched_switch:         trace-cmd:2532 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.553288826: (+12280686) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9142.553295159: (+6333)  sched_switch:         swapper/2:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9142.553315863: (+20704) sched_switch:         ngrok:515 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.554033344: (+717481) sched_wakeup:         trace-cmd:2529 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9142.554037937: (+4593)  sched_switch:         swapper/2:0 [120] R ==> trace-cmd:2529 [120]
       trace-cmd-2529  [002]  9142.554045844: (+7907)  sched_switch:         trace-cmd:2529 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.563365474: (+9319630) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9142.563370696: (+5222)  sched_switch:         swapper/2:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9142.563380233: (+9537)  sched_switch:         ngrok:515 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.574924714: (+11544481) sched_wakeup:         kcompactd0:43 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9142.574942788: (+18074) sched_switch:         swapper/2:0 [120] R ==> kcompactd0:43 [120]
      kcompactd0-43    [002]  9142.574959566: (+16778) sched_switch:         kcompactd0:43 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.603284103: (+28324537) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002]  9142.603289029: (+4926)  sched_switch:         swapper/2:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9142.603297548: (+8519)  sched_switch:         ngrok:515 [120] S ==> swapper/2:0 [120]
          <idle>-0     [002]  9142.613348436: (+10050888) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
