cpus=4
          <idle>-0     [000]  9142.037082735:          sched_wakeup:         kworker/0:1:2177 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.053769731: (+4555)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9143.053807472: (+37741) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.102856953: (+49049481) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.102861823: (+4870)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9143.102887712: (+25889) sched_wakeup:         kworker/0:1:2177 [120]<CANT FIND FIELD success> CPU:000
           ngrok-552   [000]  9143.102906379: (+18667) sched_switch:         ngrok:552 [120] S ==> kworker/0:1:2177 [120]
     kworker/0:1-2177  [000]  9143.102922361: (+15982) sched_wakeup:         kworker/3:1:37 [120]<CANT FIND FIELD success> CPU:003
     kworker/0:1-2177  [000]  9143.102930712: (+8351)  sched_switch:         kworker/0:1:2177 [120] W ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.103953861: (+1023149) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.103958638: (+4777)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9143.103988064: (+29426) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.104002490: (+14426) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.104006712: (+4222)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9143.104031805: (+25093) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.153081194: (+49049389) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.153085934: (+4740)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9143.153101916: (+15982) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.154150731: (+1048815) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.154155286: (+4555)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9143.154182416: (+27130) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.203232323: (+49049907) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.203237897: (+5574)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9143.203274712: (+36815) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:000
           ngrok-552   [000]  9143.203294656: (+19944) sched_switch:         ngrok:552 [120] S ==> ngrok:517 [120]
           ngrok-517   [000]  9143.203316119: (+21463) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
           ngrok-517   [000]  9143.203328768: (+12649) sched_switch:         ngrok:517 [120] S ==> ngrok:552 [120]
           ngrok-552   [000]  9143.203357953: (+29185) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.206403342: (+3045389) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.206408138: (+4796)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9143.206419749: (+11611) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.207468712: (+1048963) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.207473249: (+4537)  sched_switch:         swapper/0:0 [120] R ==> ngrok:552 [120]
           ngrok-552   [000]  9143.207487768: (+14519) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:000
           ngrok-552   [000]  9143.207726379: (+238611) sched_switch:         ngrok:552 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.222880045: (+15153666) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.222885230: (+5185)  sched_switch:         swapper/0:0 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000]  9143.222894267: (+9037)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9143.238872675: (+15978408) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9143.238876990: (+4315)  sched_switch:         swapper/0:0 [120] R ==> brcmf_wdog/mmc1:237 [120]
