cpus=4
       trace-cmd-3532  [002] 14846.206871531:          sched_switch:         trace-cmd:3532 [120] S ==> stress:3542 [120]
          stress-3539  [002] 14847.041342546: (+7945685) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
          stress-3539  [002] 14847.041351509: (+8963)  sched_switch:         stress:3539 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002] 14847.041373601: (+22092) sched_switch:         rcu_preempt:13 [120] W ==> stress:3536 [120]
          stress-3536  [002] 14847.045340083: (+3966482) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
          stress-3536  [002] 14847.045350509: (+10426) sched_wakeup:         kworker/2:1:3243 [120]<CANT FIND FIELD success> CPU:002
          stress-3536  [002] 14847.045360509: (+10000) sched_switch:         stress:3536 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002] 14847.045384268: (+23759) sched_switch:         rcu_preempt:13 [120] W ==> kworker/2:1:3243 [120]
     kworker/2:1-3243  [002] 14847.045408435: (+24167) sched_switch:         kworker/2:1:3243 [120] W ==> stress:3536 [120]
          stress-3536  [002] 14847.053334824: (+7926389) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
          stress-3536  [002] 14847.053342713: (+7889)  sched_switch:         stress:3536 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002] 14847.053358972: (+16259) sched_switch:         rcu_preempt:13 [120] W ==> stress:3539 [120]
          stress-3539  [002] 14847.065327324: (+11968352) sched_switch:         stress:3539 [120] R ==> stress:3536 [120]
          stress-3536  [002] 14847.071689027: (+6361703) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-3536  [002] 14847.071695509: (+6482)  sched_switch:         stress:3536 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14847.071722601: (+27092) sched_switch:         ngrok:515 [120] S ==> stress:3539 [120]
          stress-3539  [002] 14847.077336194: (+5613593) sched_wakeup:         kworker/2:1:3243 [120]<CANT FIND FIELD success> CPU:002
          stress-3539  [002] 14847.077342824: (+6630)  sched_switch:         stress:3539 [120] R ==> kworker/2:1:3243 [120]
     kworker/2:1-3243  [002] 14847.077366101: (+23277) sched_switch:         kworker/2:1:3243 [120] W ==> stress:3536 [120]
          stress-3536  [002] 14847.081776120: (+4410019) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-3536  [002] 14847.081782231: (+6111)  sched_switch:         stress:3536 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14847.081807824: (+25593) sched_switch:         ngrok:515 [120] S ==> stress:3539 [120]
          stress-3539  [002] 14847.093326916: (+11519092) sched_switch:         stress:3539 [120] R ==> stress:3536 [120]
          stress-3536  [002] 14847.105332527: (+12005611) sched_switch:         stress:3536 [120] R ==> stress:3537 [120]
          stress-3537  [002] 14847.109423935: (+4091408) sched_wakeup:         trace-cmd:3547 [120]<CANT FIND FIELD success> CPU:002
          stress-3537  [002] 14847.109427083: (+3148)  sched_switch:         stress:3537 [120] R ==> trace-cmd:3547 [120]
       trace-cmd-3547  [002] 14847.113742101: (+4315018) sched_switch:         trace-cmd:3547 [120] S ==> stress:3539 [120]
          stress-3539  [002] 14847.121331046: (+7588945) sched_switch:         stress:3539 [120] R ==> stress:3536 [120]
          stress-3536  [002] 14847.121689453: (+358407) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-3536  [002] 14847.121694916: (+5463)  sched_switch:         stress:3536 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14847.121718268: (+23352) sched_switch:         ngrok:515 [120] S ==> stress:3536 [120]
          stress-3536  [002] 14847.129334860: (+7616592) sched_switch:         stress:3536 [120] R ==> stress:3537 [120]
          stress-3537  [002] 14847.131773157: (+2438297) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
          stress-3537  [002] 14847.131777786: (+4629)  sched_switch:         stress:3537 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14847.131799342: (+21556) sched_switch:         ngrok:515 [120] S ==> stress:3537 [120]
          stress-3537  [002] 14847.141316027: (+9516685) sched_switch:         stress:3537 [120] R ==> stress:3539 [120]
          stress-3539  [002] 14847.149351527: (+8035500) sched_switch:         stress:3539 [120] R ==> stress:3536 [120]
          stress-3536  [002] 14847.157334101: (+7982574) sched_switch:         stress:3536 [120] R ==> stress:3537 [120]
          stress-3537  [002] 14847.165318805: (+7984704) sched_switch:         stress:3537 [120] R ==> stress:3539 [120]
          stress-3539  [002] 14847.171697990: (+6379185) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
