cpus=4
       trace-cmd-2669  [000]  9208.304947649:          sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9208.545458555: (+4407)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9208.545467185: (+8630)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9208.545540315: (+73130) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9208.545544833: (+4518)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000]  9208.545558037: (+13204) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:000
           ngrok-555   [000]  9208.545567907: (+9870)  sched_switch:         ngrok:555 [120] S ==> ngrok:517 [120]
           ngrok-517   [000]  9208.545578574: (+10667) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
           ngrok-517   [000]  9208.545585518: (+6944)  sched_switch:         ngrok:517 [120] S ==> ngrok:555 [120]
           ngrok-555   [000]  9208.545607426: (+21908) sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9208.555518278: (+9910852) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9208.555523037: (+4759)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9208.555532111: (+9074)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9208.594652629: (+39120518) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9208.594657259: (+4630)  sched_switch:         swapper/0:0 [120] R ==> ngrok:555 [120]
           ngrok-555   [000]  9208.594670537: (+13278) sched_switch:         ngrok:555 [120] S ==> swapper/0:0 [120]
          <idle>-0     [000]  9208.595446851: (+776314) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000]  9208.595451277: (+4426)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000]  9208.595459759: (+8482)  sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
