cpus=4
          <idle>-0     [001] 14812.272499604:          sched_wakeup:         sshd:778 [120]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.323596452: (+15000) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.323600619: (+4167)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.323604508: (+3889)  sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
    kworker/u9:3-569   [001] 14813.323614304: (+9796)  sched_switch:         kworker/u9:3:569 [100] D ==> ngrok:517 [120]
           ngrok-517   [001] 14813.323622860: (+8556)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
           ngrok-517   [001] 14813.323626156: (+3296)  sched_switch:         ngrok:517 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.323659767: (+33611) sched_switch:         kworker/u9:3:569 [100] D ==> ngrok:517 [120]
           ngrok-517   [001] 14813.323670471: (+10704) sched_switch:         ngrok:517 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.323683323: (+12852) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.323687749: (+4426)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.323698860: (+11111) sched_wakeup:         ksoftirqd/1:18 [120]<CANT FIND FIELD success> CPU:001
    kworker/u9:3-569   [001] 14813.323751100: (+52240) sched_switch:         kworker/u9:3:569 [100] D ==> ksoftirqd/1:18 [120]
     ksoftirqd/1-18    [001] 14813.323758749: (+7649)  sched_switch:         ksoftirqd/1:18 [120] S ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.323769137: (+10388) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.323773582: (+4445)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.323784341: (+10759) sched_switch:         kworker/u9:3:569 [100] W ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.366161656: (+42377315) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.366166434: (+4778)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.366179748: (+13314) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.366188119: (+8371)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.366192452: (+4333)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.366201304: (+8852)  sched_switch:         kworker/u9:3:569 [100] D ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.366209156: (+7852)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.366213360: (+4204)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.366238526: (+25166) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.366251100: (+12574) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.366255304: (+4204)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.366274897: (+19593) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.366285563: (+10666) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.366289804: (+4241)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.366358785: (+68981) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.366370378: (+11593) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.366374600: (+4222)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.366382582: (+7982)  sched_switch:         kworker/u9:3:569 [100] W ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.366529600: (+147018) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.366533748: (+4148)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.366557341: (+23593) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.366570841: (+13500) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.366574989: (+4148)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.366591434: (+16445) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.366606323: (+14889) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.366610415: (+4092)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.366669767: (+59352) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.366681489: (+11722) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.366686563: (+5074)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.366703748: (+17185) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.366715989: (+12241) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.366720156: (+4167)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.366761193: (+41037) sched_switch:         kworker/u9:3:569 [100] D ==> swapper/1:0 [120]
          <idle>-0     [001] 14813.366773100: (+11907) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
          <idle>-0     [001] 14813.366777489: (+4389)  sched_switch:         swapper/1:0 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.366781526: (+4037)  sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
    kworker/u9:3-569   [001] 14813.366810248: (+28722) sched_switch:         kworker/u9:3:569 [100] D ==> ngrok:517 [120]
           ngrok-517   [001] 14813.366859137: (+48889) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
           ngrok-517   [001] 14813.366863748: (+4611)  sched_switch:         ngrok:517 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.366883323: (+19575) sched_switch:         kworker/u9:3:569 [100] W ==> ngrok:517 [120]
           ngrok-517   [001] 14813.366910711: (+27388) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:001
           ngrok-517   [001] 14813.366916434: (+5723)  sched_switch:         ngrok:517 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [001] 14813.366954860: (+38426) sched_switch:         kworker/u9:3:569 [100] D ==> ngrok:517 [120]
