cpus=4
          stress-3672  [000] 14905.259367602:          sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:0-2872  [000] 14905.309105620: (+3982)  sched_switch:         kworker/0:0:2872 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14905.309117046: (+11426) sched_switch:         kworker/u9:3:569 [100] W ==> kworker/0:0:2872 [120]
     kworker/0:0-2872  [000] 14905.309120768: (+3722)  sched_switch:         kworker/0:0:2872 [120] W ==> stress:3678 [120]
          stress-3678  [000] 14905.309161768: (+41000) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          stress-3678  [000] 14905.309183342: (+21574) sched_switch:         stress:3678 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14905.309203046: (+19704) sched_switch:         kworker/0:1H:67 [100] D ==> stress:3678 [120]
          stress-3678  [000] 14905.309209972: (+6926)  sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          stress-3678  [000] 14905.309213379: (+3407)  sched_switch:         stress:3678 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14905.309233046: (+19667) sched_switch:         kworker/0:1H:67 [100] W ==> stress:3678 [120]
          stress-3678  [000] 14905.311440638: (+2207592) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          stress-3678  [000] 14905.311445675: (+5037)  sched_switch:         stress:3678 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14905.311467175: (+21500) sched_switch:         kworker/0:1H:67 [100] D ==> stress:3672 [120]
          stress-3672  [000] 14905.311480935: (+13760) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          stress-3672  [000] 14905.311488564: (+7629)  sched_switch:         stress:3672 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14905.311508120: (+19556) sched_switch:         kworker/0:1H:67 [100] W ==> stress:3672 [120]
          stress-3672  [000] 14905.321110879: (+9602759) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          stress-3672  [000] 14905.321114379: (+3500)  sched_switch:         stress:3672 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14905.321123990: (+9611)  sched_switch:         kworker/0:1H:67 [100] D ==> stress:3678 [120]
          stress-3678  [000] 14905.321130342: (+6352)  sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
          stress-3678  [000] 14905.321133935: (+3593)  sched_switch:         stress:3678 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14905.321144157: (+10222) sched_switch:         kworker/0:1H:67 [100] W ==> stress:3678 [120]
          stress-3678  [000] 14905.321211379: (+67222) sched_wakeup:         kworker/u8:2:2863 [120]<CANT FIND FIELD success> CPU:000
          stress-3678  [000] 14905.321214842: (+3463)  sched_switch:         stress:3678 [120] R ==> kworker/u8:2:2863 [120]
    kworker/u8:2-2863  [000] 14905.321223768: (+8926)  sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:000
    kworker/u8:2-2863  [000] 14905.321248527: (+24759) sched_switch:         kworker/u8:2:2863 [120] W ==> kworker/u8:1:2871 [120]
