cpus=4
          stress-3674  [002] 14905.259426102:          sched_wakeup:         sshd:778 [120]<CANT FIND FIELD success> CPU:002
          stress-3679  [002] 14905.341159935: (+3950241) sched_switch:         stress:3679 [120] R ==> stress:3676 [120]
          stress-3676  [002] 14905.345160064: (+4000129) sched_switch:         stress:3676 [120] R ==> stress:3673 [120]
          stress-3673  [002] 14905.349159286: (+3999222) sched_switch:         stress:3673 [120] R ==> stress:3679 [120]
          stress-3679  [002] 14905.353158898: (+3999612) sched_switch:         stress:3679 [120] R ==> stress:3677 [120]
          stress-3677  [002] 14905.357176323: (+4017425) sched_switch:         stress:3677 [120] R ==> stress:3676 [120]
          stress-3676  [002] 14905.361161898: (+3985575) sched_switch:         stress:3676 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14905.365174749: (+4012851) sched_switch:         stress:3674 [120] R ==> stress:3673 [120]
          stress-3673  [002] 14905.365242601: (+67852) sched_switch:         stress:3673 [120] D ==> stress:3679 [120]
          stress-3679  [002] 14905.365278194: (+35593) sched_switch:         stress:3679 [120] D ==> stress:3677 [120]
          stress-3677  [002] 14905.373172157: (+7893963) sched_switch:         stress:3677 [120] R ==> stress:3676 [120]
          stress-3676  [002] 14905.374762490: (+1590333) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3676  [002] 14905.374768157: (+5667)  sched_switch:         stress:3676 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14905.374812046: (+43889) sched_switch:         ngrok:555 [120] S ==> stress:3674 [120]
          stress-3674  [002] 14905.375566397: (+754351) sched_wakeup:         stress:3673 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14905.375856286: (+289889) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14905.375861601: (+5315)  sched_switch:         stress:3674 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14905.375893120: (+31519) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
           ngrok-555   [002] 14905.375915453: (+22333) sched_switch:         ngrok:555 [120] S ==> ngrok:553 [120]
           ngrok-553   [002] 14905.375937323: (+21870) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
           ngrok-553   [002] 14905.375952286: (+14963) sched_switch:         ngrok:553 [120] S ==> ngrok:555 [120]
           ngrok-555   [002] 14905.375980490: (+28204) sched_switch:         ngrok:555 [120] S ==> stress:3673 [120]
          stress-3673  [002] 14905.375987175: (+6685)  sched_wakeup:         stress:3679 [120]<CANT FIND FIELD success> CPU:002
          stress-3673  [002] 14905.375997934: (+10759) sched_switch:         stress:3673 [120] D ==> stress:3679 [120]
          stress-3679  [002] 14905.376008694: (+10760) sched_switch:         stress:3679 [120] D ==> stress:3674 [120]
          stress-3674  [002] 14905.381175712: (+5167018) sched_switch:         stress:3674 [120] R ==> stress:3676 [120]
          stress-3676  [002] 14905.381206638: (+30926) sched_wakeup:         stress:3673 [120]<CANT FIND FIELD success> CPU:002
          stress-3676  [002] 14905.381209860: (+3222)  sched_switch:         stress:3676 [120] R ==> stress:3673 [120]
          stress-3673  [002] 14905.381216916: (+7056)  sched_wakeup:         stress:3679 [120]<CANT FIND FIELD success> CPU:002
          stress-3673  [002] 14905.385160583: (+3943667) sched_switch:         stress:3673 [120] R ==> stress:3679 [120]
          stress-3679  [002] 14905.389161009: (+4000426) sched_switch:         stress:3679 [120] R ==> stress:3676 [120]
          stress-3676  [002] 14905.389183879: (+22870) sched_switch:         stress:3676 [120] D ==> stress:3680 [120]
          stress-3680  [002] 14905.393158379: (+3974500) sched_switch:         stress:3680 [120] R ==> stress:3673 [120]
          stress-3673  [002] 14905.393195860: (+37481) sched_switch:         stress:3673 [120] D ==> stress:3679 [120]
          stress-3679  [002] 14905.393202064: (+6204)  sched_wakeup:         stress:3676 [120]<CANT FIND FIELD success> CPU:002
          stress-3679  [002] 14905.397158453: (+3956389) sched_switch:         stress:3679 [120] R ==> stress:3676 [120]
          stress-3676  [002] 14905.397175231: (+16778) sched_wakeup:         stress:3673 [120]<CANT FIND FIELD success> CPU:002
          stress-3676  [002] 14905.401158768: (+3983537) sched_switch:         stress:3676 [120] R ==> stress:3673 [120]
          stress-3673  [002] 14905.401173527: (+14759) sched_switch:         stress:3673 [120] D ==> stress:3676 [120]
          stress-3676  [002] 14905.405158212: (+3984685) sched_switch:         stress:3676 [120] R ==> stress:3680 [120]
          stress-3680  [002] 14905.409156286: (+3998074) sched_switch:         stress:3680 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14905.409163268: (+6982)  sched_wakeup:         stress:3673 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14905.409166416: (+3148)  sched_switch:         stress:3674 [120] R ==> stress:3673 [120]
          stress-3673  [002] 14905.417157342: (+7990926) sched_switch:         stress:3673 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14905.421172805: (+4015463) sched_switch:         stress:3674 [120] R ==> stress:3679 [120]
          stress-3679  [002] 14905.421214212: (+41407) sched_switch:         stress:3679 [120] D ==> stress:3677 [120]
          stress-3677  [002] 14905.425037434: (+3823222) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3677  [002] 14905.425047860: (+10426) sched_switch:         stress:3677 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14905.425094323: (+46463) sched_switch:         ngrok:555 [120] S ==> stress:3676 [120]
          stress-3676  [002] 14905.425121045: (+26722) sched_switch:         stress:3676 [120] D ==> stress:3680 [120]
          stress-3680  [002] 14905.425872971: (+751926) sched_wakeup:         stress:3676 [120]<CANT FIND FIELD success> CPU:002
          stress-3680  [002] 14905.425877027: (+4056)  sched_wakeup:         stress:3679 [120]<CANT FIND FIELD success> CPU:002
          stress-3680  [002] 14905.425879545: (+2518)  sched_switch:         stress:3680 [120] R ==> stress:3679 [120]
          stress-3679  [002] 14905.425937175: (+57630) sched_wakeup:         kworker/2:0H:3548 [100]<CANT FIND FIELD success> CPU:002
          stress-3679  [002] 14905.425942712: (+5537)  sched_switch:         stress:3679 [120] R ==> kworker/2:0H:3548 [100]
    kworker/2:0H-3548  [002] 14905.425975823: (+33111) sched_switch:         kworker/2:0H:3548 [100] W ==> stress:3679 [120]
