cpus=4
          stress-3674  [002] 14905.259426102:          sched_wakeup:         sshd:778 [120]<CANT FIND FIELD success> CPU:002
          stress-3672  [002] 14910.024882972: (+3812018) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
          stress-3672  [002] 14910.024886972: (+4000)  sched_switch:         stress:3672 [120] R ==> ngrok:553 [120]
           ngrok-553   [002] 14910.024930398: (+43426) sched_switch:         ngrok:553 [120] S ==> stress:3674 [120]
          stress-3674  [002] 14910.025979509: (+1049111) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14910.025987824: (+8315)  sched_switch:         stress:3674 [120] R ==> ngrok:553 [120]
           ngrok-553   [002] 14910.026022435: (+34611) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
           ngrok-553   [002] 14910.026052435: (+30000) sched_switch:         ngrok:553 [120] S ==> ngrok:555 [120]
           ngrok-555   [002] 14910.026073269: (+20834) sched_switch:         ngrok:555 [120] S ==> stress:3678 [120]
          stress-3678  [002] 14910.033058435: (+6985166) sched_switch:         stress:3678 [120] R ==> stress:3672 [120]
          stress-3672  [002] 14910.041061194: (+8002759) sched_switch:         stress:3672 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14910.049079287: (+8018093) sched_switch:         stress:3674 [120] R ==> stress:3678 [120]
          stress-3678  [002] 14910.057057843: (+7978556) sched_switch:         stress:3678 [120] R ==> stress:3672 [120]
          stress-3672  [002] 14910.065061935: (+8004092) sched_switch:         stress:3672 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14910.073077028: (+8015093) sched_switch:         stress:3674 [120] R ==> stress:3678 [120]
          stress-3678  [002] 14910.075106231: (+2029203) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
          stress-3678  [002] 14910.075111361: (+5130)  sched_switch:         stress:3678 [120] R ==> ngrok:553 [120]
           ngrok-553   [002] 14910.075153935: (+42574) sched_switch:         ngrok:553 [120] S ==> stress:3672 [120]
          stress-3672  [002] 14910.076194842: (+1040907) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
          stress-3672  [002] 14910.076199213: (+4371)  sched_switch:         stress:3672 [120] R ==> ngrok:553 [120]
           ngrok-553   [002] 14910.076224268: (+25055) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
           ngrok-553   [002] 14910.076244287: (+20019) sched_switch:         ngrok:553 [120] S ==> ngrok:555 [120]
           ngrok-555   [002] 14910.076267565: (+23278) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
           ngrok-555   [002] 14910.076282176: (+14611) sched_switch:         ngrok:555 [120] S ==> ngrok:553 [120]
           ngrok-553   [002] 14910.076310676: (+28500) sched_switch:         ngrok:553 [120] S ==> stress:3674 [120]
          stress-3674  [002] 14910.077082213: (+771537) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14910.077089898: (+7685)  sched_switch:         stress:3674 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002] 14910.077109213: (+19315) sched_switch:         rcu_preempt:13 [120] W ==> stress:3678 [120]
          stress-3678  [002] 14910.085062435: (+7953222) sched_switch:         stress:3678 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14910.089091379: (+4028944) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14910.089118398: (+27019) sched_wakeup:         kworker/2:1:3243 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14910.089122305: (+3907)  sched_wakeup:         ksoftirqd/2:23 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14910.089127657: (+5352)  sched_switch:         stress:3674 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002] 14910.089142305: (+14648) sched_switch:         rcu_preempt:13 [120] W ==> kworker/2:1:3243 [120]
     kworker/2:1-3243  [002] 14910.089153787: (+11482) sched_switch:         kworker/2:1:3243 [120] W ==> ksoftirqd/2:23 [120]
     ksoftirqd/2-23    [002] 14910.089174398: (+20611) sched_switch:         ksoftirqd/2:23 [120] S ==> stress:3672 [120]
          stress-3672  [002] 14910.097119991: (+7945593) sched_switch:         stress:3672 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14910.105078157: (+7958166) sched_switch:         stress:3674 [120] R ==> stress:3678 [120]
          stress-3678  [002] 14910.113057453: (+7979296) sched_switch:         stress:3678 [120] R ==> stress:3672 [120]
          stress-3672  [002] 14910.121059713: (+8002260) sched_switch:         stress:3672 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14910.125367398: (+4307685) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14910.125374509: (+7111)  sched_switch:         stress:3674 [120] R ==> ngrok:553 [120]
           ngrok-553   [002] 14910.125425639: (+51130) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
           ngrok-553   [002] 14910.125464509: (+38870) sched_switch:         ngrok:553 [120] S ==> ngrok:555 [120]
           ngrok-555   [002] 14910.125487861: (+23352) sched_switch:         ngrok:555 [120] S ==> stress:3678 [120]
          stress-3678  [002] 14910.133057046: (+7569185) sched_switch:         stress:3678 [120] R ==> stress:3672 [120]
          stress-3672  [002] 14910.141060435: (+8003389) sched_switch:         stress:3672 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14910.149087268: (+8026833) sched_wakeup:         kworker/2:1:3243 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14910.149100268: (+13000) sched_switch:         stress:3674 [120] R ==> kworker/2:1:3243 [120]
     kworker/2:1-3243  [002] 14910.149134861: (+34593) sched_switch:         kworker/2:1:3243 [120] W ==> stress:3678 [120]
          stress-3678  [002] 14910.157056416: (+7921555) sched_switch:         stress:3678 [120] R ==> stress:3672 [120]
          stress-3672  [002] 14910.165056638: (+8000222) sched_switch:         stress:3672 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14910.173075250: (+8018612) sched_switch:         stress:3674 [120] R ==> stress:3678 [120]
          stress-3678  [002] 14910.174513638: (+1438388) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
          stress-3678  [002] 14910.174517861: (+4223)  sched_switch:         stress:3678 [120] R ==> ngrok:553 [120]
           ngrok-553   [002] 14910.174562675: (+44814) sched_switch:         ngrok:553 [120] S ==> stress:3672 [120]
          stress-3672  [002] 14910.175605287: (+1042612) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
          stress-3672  [002] 14910.175609231: (+3944)  sched_switch:         stress:3672 [120] R ==> ngrok:553 [120]
           ngrok-553   [002] 14910.175636750: (+27519) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
           ngrok-553   [002] 14910.175658138: (+21388) sched_switch:         ngrok:553 [120] S ==> ngrok:555 [120]
           ngrok-555   [002] 14910.175680046: (+21908) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
           ngrok-555   [002] 14910.175695509: (+15463) sched_switch:         ngrok:555 [120] S ==> ngrok:553 [120]
           ngrok-553   [002] 14910.175723916: (+28407) sched_switch:         ngrok:553 [120] S ==> stress:3674 [120]
          stress-3674  [002] 14910.185069194: (+9345278) sched_switch:         stress:3674 [120] R ==> stress:3678 [120]
          stress-3678  [002] 14910.193058953: (+7989759) sched_switch:         stress:3678 [120] R ==> stress:3672 [120]
          stress-3672  [002] 14910.201054564: (+7995611) sched_switch:         stress:3672 [120] R ==> stress:3678 [120]
          stress-3678  [002] 14910.209054157: (+7999593) sched_switch:         stress:3678 [120] R ==> stress:3672 [120]
          stress-3672  [002] 14910.217057842: (+8003685) sched_switch:         stress:3672 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14910.224782379: (+7724537) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14910.224791212: (+8833)  sched_switch:         stress:3674 [120] R ==> ngrok:553 [120]
           ngrok-553   [002] 14910.224838453: (+47241) sched_switch:         ngrok:553 [120] S ==> stress:3678 [120]
          stress-3678  [002] 14910.225882453: (+1044000) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
          stress-3678  [002] 14910.225886138: (+3685)  sched_switch:         stress:3678 [120] R ==> ngrok:553 [120]
           ngrok-553   [002] 14910.225922583: (+36445) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
           ngrok-553   [002] 14910.225925638: (+3055)  sched_switch:         ngrok:553 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14910.225954083: (+28445) sched_switch:         ngrok:555 [120] S ==> ngrok:553 [120]
           ngrok-553   [002] 14910.225988046: (+33963) sched_switch:         ngrok:553 [120] S ==> stress:3672 [120]
          stress-3672  [002] 14910.233073934: (+7085888) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
          stress-3672  [002] 14910.233080953: (+7019)  sched_switch:         stress:3672 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002] 14910.233096546: (+15593) sched_switch:         rcu_preempt:13 [120] W ==> stress:3674 [120]
          stress-3674  [002] 14910.241072434: (+7975888) sched_switch:         stress:3674 [120] R ==> stress:3678 [120]
          stress-3678  [002] 14910.249053786: (+7981352) sched_switch:         stress:3678 [120] R ==> stress:3672 [120]
          stress-3672  [002] 14910.257053194: (+7999408) sched_switch:         stress:3672 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14910.265066471: (+8013277) sched_switch:         stress:3674 [120] R ==> stress:3678 [120]
          stress-3678  [002] 14910.273059786: (+7993315) sched_switch:         stress:3678 [120] R ==> stress:3672 [120]
          stress-3672  [002] 14910.275006286: (+1946500) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3672  [002] 14910.275011157: (+4871)  sched_switch:         stress:3672 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14910.275054971: (+43814) sched_switch:         ngrok:555 [120] S ==> stress:3674 [120]
          stress-3674  [002] 14910.276103175: (+1048204) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3674  [002] 14910.276115249: (+12074) sched_switch:         stress:3674 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14910.276145194: (+29945) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
           ngrok-555   [002] 14910.276170990: (+25796) sched_switch:         ngrok:555 [120] S ==> ngrok:553 [120]
           ngrok-553   [002] 14910.276188823: (+17833) sched_switch:         ngrok:553 [120] S ==> stress:3678 [120]
          stress-3678  [002] 14910.285053138: (+8864315) sched_switch:         stress:3678 [120] R ==> stress:3672 [120]
          stress-3672  [002] 14910.293054082: (+8000944) sched_switch:         stress:3672 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14910.301065638: (+8011556) sched_switch:         stress:3674 [120] R ==> stress:3677 [120]
          stress-3677  [002] 14910.309067397: (+8001759) sched_switch:         stress:3677 [120] R ==> stress:3672 [120]
          stress-3672  [002] 14910.317052434: (+7985037) sched_switch:         stress:3672 [120] R ==> stress:3674 [120]
          stress-3674  [002] 14910.325066582: (+8014148) sched_switch:         stress:3674 [120] R ==> stress:3678 [120]
          stress-3678  [002] 14910.325224786: (+158204) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3678  [002] 14910.325229823: (+5037)  sched_switch:         stress:3678 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14910.325272156: (+42333) sched_switch:         ngrok:555 [120] S ==> stress:3678 [120]
          stress-3678  [002] 14910.326314545: (+1042389) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3678  [002] 14910.326319156: (+4611)  sched_switch:         stress:3678 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14910.326344101: (+24945) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
           ngrok-555   [002] 14910.326363453: (+19352) sched_switch:         ngrok:555 [120] S ==> ngrok:553 [120]
           ngrok-553   [002] 14910.326385601: (+22148) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
           ngrok-553   [002] 14910.326399064: (+13463) sched_switch:         ngrok:553 [120] S ==> ngrok:555 [120]
           ngrok-555   [002] 14910.326426934: (+27870) sched_switch:         ngrok:555 [120] S ==> stress:3678 [120]
          stress-3678  [002] 14910.333052027: (+6625093) sched_switch:         stress:3678 [120] R ==> stress:3677 [120]
          stress-3677  [002] 14910.341078490: (+8026463) sched_switch:         stress:3677 [120] R ==> stress:3672 [120]
          stress-3672  [002] 14910.349076564: (+7998074) sched_switch:         stress:3672 [120] R ==> stress:3678 [120]
          stress-3678  [002] 14910.353065897: (+3989333) sched_wakeup:         kworker/2:1:3243 [120]<CANT FIND FIELD success> CPU:002
          stress-3678  [002] 14910.353075193: (+9296)  sched_switch:         stress:3678 [120] R ==> kworker/2:1:3243 [120]
     kworker/2:1-3243  [002] 14910.353105823: (+30630) sched_switch:         kworker/2:1:3243 [120] W ==> stress:3677 [120]
          stress-3677  [002] 14910.361080249: (+7974426) sched_switch:         stress:3677 [120] R ==> stress:3678 [120]
          stress-3678  [002] 14910.369051693: (+7971444) sched_switch:         stress:3678 [120] R ==> stress:3672 [120]
          stress-3672  [002] 14910.374477489: (+5425796) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3672  [002] 14910.374481582: (+4093)  sched_switch:         stress:3672 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14910.374522860: (+41278) sched_switch:         ngrok:555 [120] S ==> stress:3677 [120]
          stress-3677  [002] 14910.375577230: (+1054370) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3677  [002] 14910.375584434: (+7204)  sched_switch:         stress:3677 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14910.375617341: (+32907) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
           ngrok-555   [002] 14910.375648804: (+31463) sched_switch:         ngrok:555 [120] S ==> ngrok:553 [120]
           ngrok-553   [002] 14910.375670471: (+21667) sched_switch:         ngrok:553 [120] S ==> stress:3677 [120]
          stress-3677  [002] 14910.377088749: (+1418278) sched_wakeup:         kcompactd0:43 [120]<CANT FIND FIELD success> CPU:002
          stress-3677  [002] 14910.377096175: (+7426)  sched_switch:         stress:3677 [120] R ==> kcompactd0:43 [120]
      kcompactd0-43    [002] 14910.377118267: (+22092) sched_switch:         kcompactd0:43 [120] S ==> stress:3678 [120]
          stress-3678  [002] 14910.385050934: (+7932667) sched_switch:         stress:3678 [120] R ==> stress:3677 [120]
          stress-3677  [002] 14910.389090323: (+4039389) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
          stress-3677  [002] 14910.389102952: (+12629) sched_switch:         stress:3677 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002] 14910.389125915: (+22963) sched_switch:         rcu_preempt:13 [120] W ==> stress:3672 [120]
          stress-3672  [002] 14910.397057267: (+7931352) sched_switch:         stress:3672 [120] R ==> stress:3677 [120]
          stress-3677  [002] 14910.401083730: (+4026463) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
          stress-3677  [002] 14910.401091341: (+7611)  sched_switch:         stress:3677 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002] 14910.401105175: (+13834) sched_switch:         rcu_preempt:13 [120] W ==> stress:3678 [120]
          stress-3678  [002] 14910.405063452: (+3958277) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
          stress-3678  [002] 14910.405066045: (+2593)  sched_switch:         stress:3678 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002] 14910.405079489: (+13444) sched_switch:         rcu_preempt:13 [120] W ==> stress:3677 [120]
          stress-3677  [002] 14910.413068563: (+7989074) sched_switch:         stress:3677 [120] R ==> stress:3672 [120]
          stress-3672  [002] 14910.421052397: (+7983834) sched_switch:         stress:3672 [120] R ==> stress:3678 [120]
          stress-3678  [002] 14910.424700656: (+3648259) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3678  [002] 14910.424705045: (+4389)  sched_switch:         stress:3678 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14910.424753082: (+48037) sched_switch:         ngrok:555 [120] S ==> stress:3678 [120]
          stress-3678  [002] 14910.425796434: (+1043352) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3678  [002] 14910.425799637: (+3203)  sched_switch:         stress:3678 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14910.425840971: (+41334) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
           ngrok-555   [002] 14910.425872415: (+31444) sched_switch:         ngrok:555 [120] S ==> ngrok:553 [120]
           ngrok-553   [002] 14910.425904952: (+32537) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
           ngrok-553   [002] 14910.425923100: (+18148) sched_switch:         ngrok:553 [120] S ==> ngrok:555 [120]
           ngrok-555   [002] 14910.425960026: (+36926) sched_switch:         ngrok:555 [120] S ==> stress:3677 [120]
          stress-3677  [002] 14910.433071952: (+7111926) sched_switch:         stress:3677 [120] R ==> stress:3678 [120]
          stress-3678  [002] 14910.441050397: (+7978445) sched_switch:         stress:3678 [120] R ==> stress:3672 [120]
          stress-3672  [002] 14910.449049915: (+7999518) sched_switch:         stress:3672 [120] R ==> stress:3677 [120]
          stress-3677  [002] 14910.457062934: (+8013019) sched_switch:         stress:3677 [120] R ==> stress:3678 [120]
          stress-3678  [002] 14910.465049804: (+7986870) sched_switch:         stress:3678 [120] R ==> stress:3672 [120]
          stress-3672  [002] 14910.473086952: (+8037148) sched_switch:         stress:3672 [120] R ==> stress:3677 [120]
          stress-3677  [002] 14910.475014897: (+1927945) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3677  [002] 14910.475024545: (+9648)  sched_switch:         stress:3677 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14910.475071063: (+46518) sched_switch:         ngrok:555 [120] S ==> stress:3678 [120]
          stress-3678  [002] 14910.476115804: (+1044741) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3678  [002] 14910.476120989: (+5185)  sched_switch:         stress:3678 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14910.476155211: (+34222) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
           ngrok-555   [002] 14910.476184267: (+29056) sched_switch:         ngrok:555 [120] S ==> ngrok:553 [120]
           ngrok-553   [002] 14910.476207619: (+23352) sched_switch:         ngrok:553 [120] S ==> stress:3677 [120]
          stress-3677  [002] 14910.485071989: (+8864370) sched_switch:         stress:3677 [120] R ==> stress:3672 [120]
          stress-3672  [002] 14910.493049119: (+7977130) sched_switch:         stress:3672 [120] R ==> stress:3678 [120]
          stress-3678  [002] 14910.501054730: (+8005611) sched_switch:         stress:3678 [120] R ==> stress:3672 [120]
          stress-3672  [002] 14910.509049859: (+7995129) sched_switch:         stress:3672 [120] R ==> stress:3678 [120]
          stress-3678  [002] 14910.517048248: (+7998389) sched_switch:         stress:3678 [120] R ==> stress:3677 [120]
          stress-3677  [002] 14910.525063656: (+8015408) sched_switch:         stress:3677 [120] R ==> stress:3672 [120]
          stress-3672  [002] 14910.525239063: (+175407) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3672  [002] 14910.525244693: (+5630)  sched_switch:         stress:3672 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14910.525301952: (+57259) sched_switch:         ngrok:555 [120] S ==> stress:3672 [120]
          stress-3672  [002] 14910.526346415: (+1044463) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3672  [002] 14910.526352470: (+6055)  sched_switch:         stress:3672 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14910.526394748: (+42278) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
           ngrok-555   [002] 14910.526425119: (+30371) sched_switch:         ngrok:555 [120] S ==> ngrok:553 [120]
           ngrok-553   [002] 14910.526457933: (+32814) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
           ngrok-553   [002] 14910.526478693: (+20760) sched_switch:         ngrok:553 [120] S ==> ngrok:555 [120]
           ngrok-555   [002] 14910.526518859: (+40166) sched_switch:         ngrok:555 [120] S ==> stress:3678 [120]
          stress-3678  [002] 14910.533089785: (+6570926) sched_switch:         stress:3678 [120] R ==> stress:3677 [120]
          stress-3677  [002] 14910.541061933: (+7972148) sched_switch:         stress:3677 [120] R ==> stress:3672 [120]
          stress-3672  [002] 14910.549048137: (+7986204) sched_switch:         stress:3672 [120] R ==> stress:3678 [120]
          stress-3678  [002] 14910.557052989: (+8004852) sched_switch:         stress:3678 [120] R ==> stress:3677 [120]
          stress-3677  [002] 14910.561079026: (+4026037) sched_wakeup:         kworker/2:1:3243 [120]<CANT FIND FIELD success> CPU:002
          stress-3677  [002] 14910.561093859: (+14833) sched_switch:         stress:3677 [120] R ==> kworker/2:1:3243 [120]
     kworker/2:1-3243  [002] 14910.561128526: (+34667) sched_switch:         kworker/2:1:3243 [120] W ==> stress:3672 [120]
          stress-3672  [002] 14910.569047674: (+7919148) sched_switch:         stress:3672 [120] R ==> stress:3677 [120]
          stress-3677  [002] 14910.574570489: (+5522815) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3677  [002] 14910.574579248: (+8759)  sched_switch:         stress:3677 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14910.574626507: (+47259) sched_switch:         ngrok:555 [120] S ==> stress:3678 [120]
          stress-3678  [002] 14910.575671378: (+1044871) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3678  [002] 14910.575676915: (+5537)  sched_switch:         stress:3678 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14910.575710248: (+33333) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
           ngrok-555   [002] 14910.575739433: (+29185) sched_switch:         ngrok:555 [120] S ==> ngrok:553 [120]
           ngrok-553   [002] 14910.575762081: (+22648) sched_switch:         ngrok:553 [120] S ==> stress:3678 [120]
          stress-3678  [002] 14910.585051322: (+9289241) sched_switch:         stress:3678 [120] R ==> stress:3672 [120]
          stress-3672  [002] 14910.593070803: (+8019481) sched_switch:         stress:3672 [120] R ==> stress:3677 [120]
          stress-3677  [002] 14910.601063711: (+7992908) sched_switch:         stress:3677 [120] R ==> stress:3672 [120]
          stress-3672  [002] 14910.609050803: (+7987092) sched_switch:         stress:3672 [120] R ==> stress:3678 [120]
          stress-3678  [002] 14910.617046322: (+7995519) sched_switch:         stress:3678 [120] R ==> stress:3677 [120]
          stress-3677  [002] 14910.624800489: (+7754167) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3677  [002] 14910.624808840: (+8351)  sched_switch:         stress:3677 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14910.624854692: (+45852) sched_switch:         ngrok:555 [120] S ==> stress:3672 [120]
          stress-3672  [002] 14910.625899877: (+1045185) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3672  [002] 14910.625904174: (+4297)  sched_switch:         stress:3672 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14910.625945896: (+41722) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
           ngrok-555   [002] 14910.625976526: (+30630) sched_switch:         ngrok:555 [120] S ==> ngrok:553 [120]
           ngrok-553   [002] 14910.626008081: (+31555) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
           ngrok-553   [002] 14910.626025396: (+17315) sched_switch:         ngrok:553 [120] S ==> ngrok:555 [120]
           ngrok-555   [002] 14910.626060137: (+34741) sched_switch:         ngrok:555 [120] S ==> stress:3678 [120]
          stress-3678  [002] 14910.633049785: (+6989648) sched_switch:         stress:3678 [120] R ==> stress:3677 [120]
          stress-3677  [002] 14910.641064451: (+8014666) sched_switch:         stress:3677 [120] R ==> stress:3672 [120]
          stress-3672  [002] 14910.649046322: (+7981871) sched_switch:         stress:3672 [120] R ==> stress:3678 [120]
          stress-3678  [002] 14910.657054488: (+8008166) sched_switch:         stress:3678 [120] R ==> stress:3677 [120]
          stress-3677  [002] 14910.665087081: (+8032593) sched_wakeup:         kworker/2:1:3243 [120]<CANT FIND FIELD success> CPU:002
          stress-3677  [002] 14910.665100600: (+13519) sched_switch:         stress:3677 [120] R ==> kworker/2:1:3243 [120]
     kworker/2:1-3243  [002] 14910.665134451: (+33851) sched_switch:         kworker/2:1:3243 [120] R ==> stress:3672 [120]
          stress-3672  [002] 14910.665147192: (+12741) sched_wakeup:         kworker/2:1:3243 [120]<CANT FIND FIELD success> CPU:002
          stress-3672  [002] 14910.665152488: (+5296)  sched_switch:         stress:3672 [120] R ==> kworker/2:1:3243 [120]
     kworker/2:1-3243  [002] 14910.665164729: (+12241) sched_switch:         kworker/2:1:3243 [120] D ==> stress:3672 [120]
          stress-3672  [002] 14910.665172877: (+8148)  sched_wakeup:         kworker/2:1:3243 [120]<CANT FIND FIELD success> CPU:002
          stress-3672  [002] 14910.665175729: (+2852)  sched_switch:         stress:3672 [120] R ==> kworker/2:1:3243 [120]
     kworker/2:1-3243  [002] 14910.665189414: (+13685) sched_switch:         kworker/2:1:3243 [120] W ==> stress:3672 [120]
          stress-3672  [002] 14910.673046433: (+7857019) sched_switch:         stress:3672 [120] R ==> stress:3678 [120]
          stress-3678  [002] 14910.675108766: (+2062333) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3678  [002] 14910.675113414: (+4648)  sched_switch:         stress:3678 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14910.675156859: (+43445) sched_switch:         ngrok:555 [120] S ==> stress:3672 [120]
          stress-3672  [002] 14910.676202192: (+1045333) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3672  [002] 14910.676207618: (+5426)  sched_switch:         stress:3672 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14910.676235507: (+27889) sched_wakeup:         ngrok:553 [120]<CANT FIND FIELD success> CPU:002
           ngrok-555   [002] 14910.676261618: (+26111) sched_switch:         ngrok:555 [120] S ==> ngrok:553 [120]
           ngrok-553   [002] 14910.676278655: (+17037) sched_switch:         ngrok:553 [120] S ==> stress:3677 [120]
          stress-3677  [002] 14910.685064248: (+8785593) sched_switch:         stress:3677 [120] R ==> stress:3678 [120]
          stress-3678  [002] 14910.693055970: (+7991722) sched_switch:         stress:3678 [120] R ==> stress:3672 [120]
          stress-3672  [002] 14910.693089525: (+33555) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
          stress-3672  [002] 14910.693097562: (+8037)  sched_switch:         stress:3672 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002] 14910.693120877: (+23315) sched_switch:         rcu_preempt:13 [120] W ==> stress:3672 [120]
          stress-3672  [002] 14910.701045785: (+7924908) sched_switch:         stress:3672 [120] R ==> stress:3678 [120]
          stress-3678  [002] 14910.705048599: (+4002814) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:002
          stress-3678  [002] 14910.705052822: (+4223)  sched_switch:         stress:3678 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [002] 14910.705062673: (+9851)  sched_switch:         rcu_preempt:13 [120] W ==> stress:3677 [120]
