cpus=4
           <...>-3239  [000] 14579.117612586:          sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [002] 14579.143836790: (+384167) sched_wakeup:         kworker/2:2:2856 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.143844160: (+7370)  sched_switch:         swapper/2:0 [120] R ==> kworker/2:2:2856 [120]
     kworker/2:2-2856  [002] 14579.143865494: (+21334) sched_switch:         kworker/2:2:2856 [120] W ==> swapper/2:0 [120]
   task_server.a-3182  [003] 14579.144693438: (+827944) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14579.144703679: (+10241) sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14579.144713438: (+9759)  sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
   task_server.a-3182  [003] 14579.145939660: (+1226222) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14579.145949420: (+9760)  sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14579.145958809: (+9389)  sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
   task_server.a-3182  [003] 14579.147184086: (+1225277) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14579.147193846: (+9760)  sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14579.147203272: (+9426)  sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
          <idle>-0     [000] 14579.147845772: (+642500) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14579.147852383: (+6611)  sched_switch:         swapper/0:0 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000] 14579.147870568: (+18185) sched_switch:         brcmf_wdog/mmc1:237 [120] D ==> swapper/0:0 [120]
          <idle>-0     [000] 14579.147883438: (+12870) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14579.147886901: (+3463)  sched_switch:         swapper/0:0 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000] 14579.147893549: (+6648)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> swapper/0:0 [120]
   task_server.a-3182  [003] 14579.148439753: (+546204) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14579.148449920: (+10167) sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14579.148459697: (+9777)  sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
   task_server.a-3182  [003] 14579.149688827: (+1229130) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14579.149698568: (+9741)  sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14579.149707938: (+9370)  sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
   task_server.a-3182  [003] 14579.150936420: (+1228482) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14579.150946086: (+9666)  sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14579.150955568: (+9482)  sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
          <idle>-0     [002] 14579.151838420: (+882852) sched_wakeup:         kworker/2:2:2856 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.151847012: (+8592)  sched_switch:         swapper/2:0 [120] R ==> kworker/2:2:2856 [120]
     kworker/2:2-2856  [002] 14579.151858494: (+11482) sched_switch:         kworker/2:2:2856 [120] W ==> swapper/2:0 [120]
   task_server.a-3182  [003] 14579.152190753: (+332259) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14579.152200716: (+9963)  sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14579.152210272: (+9556)  sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
   task_server.a-3182  [003] 14579.153443327: (+1233055) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14579.153453068: (+9741)  sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14579.153462549: (+9481)  sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
   task_server.a-3182  [003] 14579.154690975: (+1228426) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14579.154700772: (+9797)  sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14579.154710105: (+9333)  sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
   task_server.a-3182  [003] 14579.155950142: (+1240037) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14579.155960197: (+10055) sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14579.155969772: (+9575)  sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
   task_server.a-3182  [003] 14579.157198753: (+1228981) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14579.157208457: (+9704)  sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14579.157217846: (+9389)  sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
   task_server.a-3182  [003] 14579.158451642: (+1233796) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14579.158461327: (+9685)  sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14579.158470697: (+9370)  sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
   task_server.a-3182  [003] 14579.159701086: (+1230389) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14579.159710827: (+9741)  sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14579.159720290: (+9463)  sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
   task_server.a-3182  [003] 14579.160954605: (+1234315) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14579.160964734: (+10129) sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14579.160974531: (+9797)  sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
   task_server.a-3182  [003] 14579.162206383: (+1231852) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14579.162216086: (+9703)  sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14579.162225512: (+9426)  sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
   task_server.a-3182  [003] 14579.163458809: (+1233297) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14579.163468531: (+9722)  sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14579.163477994: (+9463)  sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
   task_server.a-3182  [003] 14579.164714179: (+1236185) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14579.164724290: (+10111) sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14579.164733883: (+9593)  sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
          <idle>-0     [002] 14579.165571086: (+837203) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.165576827: (+5741)  sched_switch:         swapper/2:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [002] 14579.165610031: (+33204) sched_switch:         ngrok:517 [120] S ==> swapper/2:0 [120]
   task_server.a-3182  [003] 14579.165966105: (+356074) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14579.165975827: (+9722)  sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14579.165985568: (+9741)  sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
          <idle>-0     [000] 14579.166205790: (+220222) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14579.166211216: (+5426)  sched_switch:         swapper/0:0 [120] R ==> ngrok:515 [120]
           ngrok-515   [000] 14579.166223012: (+11796) sched_switch:         ngrok:515 [120] S ==> swapper/0:0 [120]
          <idle>-0     [002] 14579.166656883: (+433871) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
          <idle>-0     [002] 14579.166661846: (+4963)  sched_switch:         swapper/2:0 [120] R ==> ngrok:517 [120]
           ngrok-517   [002] 14579.166685623: (+23777) sched_wakeup:         ngrok:518 [120]<CANT FIND FIELD success> CPU:002
           ngrok-517   [002] 14579.166708679: (+23056) sched_switch:         ngrok:517 [120] S ==> ngrok:518 [120]
           ngrok-518   [002] 14579.166729049: (+20370) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
           ngrok-518   [002] 14579.166740716: (+11667) sched_switch:         ngrok:518 [120] S ==> ngrok:517 [120]
           ngrok-517   [002] 14579.166768364: (+27648) sched_switch:         ngrok:517 [120] S ==> swapper/2:0 [120]
   task_server.a-3182  [003] 14579.167217771: (+449407) sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
 task_client_A.a-3184  [003] 14579.167227827: (+10056) sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
 task_client_B.a-3186  [003] 14579.167238494: (+10667) sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
          <idle>-0     [000] 14579.168388975: (+1150481) sched_wakeup:         kworker/0:0:2872 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14579.168394234: (+5259)  sched_switch:         swapper/0:0 [120] R ==> kworker/0:0:2872 [120]
     kworker/0:0-2872  [000] 14579.168414790: (+20556) sched_wakeup:         kworker/0:0:2872 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:0-2872  [000] 14579.168443457: (+28667) sched_wakeup:         kworker/0:0:2872 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:0-2872  [000] 14579.168464957: (+21500) sched_switch:         kworker/0:0:2872 [120] D ==> swapper/0:0 [120]
   task_server.a-3182  [003] 14579.168471123: (+6166)  sched_switch:         task_server.a:3182 [0] R ==> task_client_A.a:3184 [0]
          <idle>-0     [000] 14579.168473401: (+2278)  sched_wakeup:         kworker/0:0:2872 [120]<CANT FIND FIELD success> CPU:000
          <idle>-0     [000] 14579.168476512: (+3111)  sched_switch:         swapper/0:0 [120] R ==> kworker/0:0:2872 [120]
 task_client_A.a-3184  [003] 14579.168481586: (+5074)  sched_switch:         task_client_A.a:3184 [0] R ==> task_client_B.a:3186 [0]
     kworker/0:0-2872  [000] 14579.168482401: (+815)   sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:0-2872  [000] 14579.168488290: (+5889)  sched_switch:         kworker/0:0:2872 [120] R ==> kworker/u9:3:569 [100]
 task_client_B.a-3186  [003] 14579.168491327: (+3037)  sched_switch:         task_client_B.a:3186 [0] R ==> task_server.a:3182 [0]
    kworker/u9:3-569   [000] 14579.168495290: (+3963)  sched_switch:         kworker/u9:3:569 [100] D ==> kworker/0:0:2872 [120]
     kworker/0:0-2872  [000] 14579.168498975: (+3685)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:0-2872  [000] 14579.168501271: (+2296)  sched_switch:         kworker/0:0:2872 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14579.168512327: (+11056) sched_switch:         kworker/u9:3:569 [100] D ==> kworker/0:0:2872 [120]
     kworker/0:0-2872  [000] 14579.168521271: (+8944)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:0-2872  [000] 14579.168524809: (+3538)  sched_switch:         kworker/0:0:2872 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14579.168533716: (+8907)  sched_switch:         kworker/u9:3:569 [100] D ==> kworker/0:0:2872 [120]
     kworker/0:0-2872  [000] 14579.168542401: (+8685)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:0-2872  [000] 14579.168545734: (+3333)  sched_switch:         kworker/0:0:2872 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14579.168571216: (+25482) sched_switch:         kworker/u9:3:569 [100] D ==> kworker/0:0:2872 [120]
