CPU 3 is empty
cpus=4
 task_client_A.a-3360  [000] 14764.226024473:          sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
      kcompactd0-43    [000] 14771.616572723: (+8334)  sched_switch:         kcompactd0:43 [120] S ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14771.680562667: (+63989944) sched_wakeup:         kworker/0:2:3318 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14771.680566963: (+4296)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/0:2:3318 [120]
     kworker/0:2-3318  [000] 14771.680583778: (+16815) sched_wakeup:         kworker/0:2:3318 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:2-3318  [000] 14771.680599537: (+15759) sched_switch:         kworker/0:2:3318 [120] W ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14772.096582387: (+415982850) sched_wakeup:         kworker/0:2:3318 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14772.096586091: (+3704)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/0:2:3318 [120]
     kworker/0:2-3318  [000] 14772.096594128: (+8037)  sched_switch:         kworker/0:2:3318 [120] W ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14772.128584017: (+31989889) sched_wakeup:         kcompactd0:43 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14772.128588535: (+4518)  sched_switch:         task_client_A.a:3360 [120] R ==> kcompactd0:43 [120]
      kcompactd0-43    [000] 14772.128597072: (+8537)  sched_switch:         kcompactd0:43 [120] S ==> task_client_A.a:3360 [120]
