cpus=4
          stress-2577  [002]  9175.383578886:          sched_switch:         stress:2577 [120] R ==> trace-cmd:2579 [120]
          stress-2577  [002]  9175.528233663: (+4371)  sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
          stress-2577  [002]  9175.528236422: (+2759)  sched_switch:         stress:2577 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9175.528251774: (+15352) sched_wakeup:         ksoftirqd/2:23 [120]<CANT FIND FIELD success> CPU:002
    kworker/2:1H-96    [002]  9175.528339941: (+88167) sched_switch:         kworker/2:1H:96 [100] D ==> ksoftirqd/2:23 [120]
     ksoftirqd/2-23    [002]  9175.528356570: (+16629) sched_switch:         ksoftirqd/2:23 [120] S ==> stress:2577 [120]
          stress-2577  [002]  9175.541510218: (+13153648) sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
          stress-2577  [002]  9175.541514496: (+4278)  sched_switch:         stress:2577 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9175.541538903: (+24407) sched_switch:         kworker/2:1H:96 [100] R ==> stress:2577 [120]
          stress-2577  [002]  9175.541544959: (+6056)  sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
          stress-2577  [002]  9175.541548052: (+3093)  sched_switch:         stress:2577 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9175.541569922: (+21870) sched_wakeup:         ksoftirqd/2:23 [120]<CANT FIND FIELD success> CPU:002
    kworker/2:1H-96    [002]  9175.541619292: (+49370) sched_switch:         kworker/2:1H:96 [100] D ==> ksoftirqd/2:23 [120]
     ksoftirqd/2-23    [002]  9175.541637385: (+18093) sched_switch:         ksoftirqd/2:23 [120] S ==> stress:2577 [120]
          stress-2577  [002]  9175.554841959: (+13204574) sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
          stress-2577  [002]  9175.554847514: (+5555)  sched_switch:         stress:2577 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9175.554879237: (+31723) sched_switch:         kworker/2:1H:96 [100] R ==> stress:2577 [120]
          stress-2577  [002]  9175.554884422: (+5185)  sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
          stress-2577  [002]  9175.554888514: (+4092)  sched_switch:         stress:2577 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9175.554910052: (+21538) sched_wakeup:         ksoftirqd/2:23 [120]<CANT FIND FIELD success> CPU:002
    kworker/2:1H-96    [002]  9175.554962403: (+52351) sched_switch:         kworker/2:1H:96 [100] D ==> ksoftirqd/2:23 [120]
     ksoftirqd/2-23    [002]  9175.554985163: (+22760) sched_switch:         ksoftirqd/2:23 [120] S ==> stress:2577 [120]
          stress-2577  [002]  9175.568181977: (+13196814) sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
          stress-2577  [002]  9175.568185218: (+3241)  sched_switch:         stress:2577 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9175.568207348: (+22130) sched_switch:         kworker/2:1H:96 [100] R ==> stress:2577 [120]
          stress-2577  [002]  9175.568212663: (+5315)  sched_wakeup:         kworker/2:1H:96 [100]<CANT FIND FIELD success> CPU:002
          stress-2577  [002]  9175.568216663: (+4000)  sched_switch:         stress:2577 [120] R ==> kworker/2:1H:96 [100]
    kworker/2:1H-96    [002]  9175.568237403: (+20740) sched_wakeup:         ksoftirqd/2:23 [120]<CANT FIND FIELD success> CPU:002
    kworker/2:1H-96    [002]  9175.568284774: (+47371) sched_switch:         kworker/2:1H:96 [100] D ==> ksoftirqd/2:23 [120]
     ksoftirqd/2-23    [002]  9175.568306311: (+21537) sched_switch:         ksoftirqd/2:23 [120] S ==> stress:2577 [120]
