cpus=4
       trace-cmd-3276  [002] 14601.959526296:          sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:002
    kworker/u9:3-569   [000] 14601.961024314: (+8722)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:3284 [120]
          stress-3284  [000] 14601.961033073: (+8759)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-3284  [000] 14601.961036666: (+3593)  sched_switch:         stress:3284 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14601.961045499: (+8833)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:3283 [120]
          stress-3283  [000] 14601.961054055: (+8556)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-3283  [000] 14601.961057685: (+3630)  sched_switch:         stress:3283 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14601.961066518: (+8833)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:3284 [120]
          stress-3284  [000] 14601.961075129: (+8611)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-3284  [000] 14601.961078777: (+3648)  sched_switch:         stress:3284 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14601.961092444: (+13667) sched_switch:         kworker/u9:3:569 [100] D ==> stress:3283 [120]
          stress-3283  [000] 14601.961101203: (+8759)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-3283  [000] 14601.961104981: (+3778)  sched_switch:         stress:3283 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14601.961113814: (+8833)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:3284 [120]
          stress-3284  [000] 14601.961122518: (+8704)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-3284  [000] 14601.961126073: (+3555)  sched_switch:         stress:3284 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14601.961135092: (+9019)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:3283 [120]
          stress-3283  [000] 14601.961143703: (+8611)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-3283  [000] 14601.961147407: (+3704)  sched_switch:         stress:3283 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14601.961156481: (+9074)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:3279 [120]
          stress-3279  [000] 14601.961166333: (+9852)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-3279  [000] 14601.961170314: (+3981)  sched_switch:         stress:3279 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14601.961179259: (+8945)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:3284 [120]
          stress-3284  [000] 14601.961187814: (+8555)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-3284  [000] 14601.961191407: (+3593)  sched_switch:         stress:3284 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14601.961200185: (+8778)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:3283 [120]
          stress-3283  [000] 14601.961208851: (+8666)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-3283  [000] 14601.961212499: (+3648)  sched_switch:         stress:3283 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14601.961226314: (+13815) sched_switch:         kworker/u9:3:569 [100] D ==> stress:3279 [120]
          stress-3279  [000] 14601.961235277: (+8963)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-3279  [000] 14601.961239110: (+3833)  sched_switch:         stress:3279 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14601.961248018: (+8908)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:3284 [120]
          stress-3284  [000] 14601.961256647: (+8629)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-3284  [000] 14601.961260203: (+3556)  sched_switch:         stress:3284 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14601.961269240: (+9037)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:3283 [120]
          stress-3283  [000] 14601.961277925: (+8685)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-3283  [000] 14601.961281573: (+3648)  sched_switch:         stress:3283 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14601.961290462: (+8889)  sched_switch:         kworker/u9:3:569 [100] D ==> stress:3279 [120]
          stress-3279  [000] 14601.961299147: (+8685)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
          stress-3279  [000] 14601.961302907: (+3760)  sched_switch:         stress:3279 [120] R ==> kworker/u9:3:569 [100]
