cpus=4
          stress-3142  [001] 14544.346176071:          sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
    kworker/1:1H-91    [001] 14544.482151552: (+30852) sched_switch:         kworker/1:1H:91 [100] R ==> stress:3142 [120]
          stress-3142  [001] 14544.482156367: (+4815)  sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3142  [001] 14544.482159237: (+2870)  sched_switch:         stress:3142 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14544.482181274: (+22037) sched_wakeup:         ksoftirqd/1:18 [120]<CANT FIND FIELD success> CPU:001
    kworker/1:1H-91    [001] 14544.482223348: (+42074) sched_switch:         kworker/1:1H:91 [100] D ==> ksoftirqd/1:18 [120]
     ksoftirqd/1-18    [001] 14544.482246200: (+22852) sched_switch:         ksoftirqd/1:18 [120] S ==> stress:3142 [120]
          stress-3142  [001] 14544.495352570: (+13106370) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3142  [001] 14544.495361941: (+9371)  sched_switch:         stress:3142 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14544.495389885: (+27944) sched_switch:         kworker/1:1H:91 [100] R ==> stress:3142 [120]
          stress-3142  [001] 14544.495394867: (+4982)  sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3142  [001] 14544.495398107: (+3240)  sched_switch:         stress:3142 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14544.495418904: (+20797) sched_wakeup:         ksoftirqd/1:18 [120]<CANT FIND FIELD success> CPU:001
    kworker/1:1H-91    [001] 14544.495459793: (+40889) sched_switch:         kworker/1:1H:91 [100] D ==> ksoftirqd/1:18 [120]
     ksoftirqd/1-18    [001] 14544.495479144: (+19351) sched_switch:         ksoftirqd/1:18 [120] S ==> stress:3142 [120]
          stress-3142  [001] 14544.508616089: (+13136945) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3142  [001] 14544.508629589: (+13500) sched_switch:         stress:3142 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14544.508661644: (+32055) sched_switch:         kworker/1:1H:91 [100] R ==> stress:3142 [120]
          stress-3142  [001] 14544.508666996: (+5352)  sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3142  [001] 14544.508670496: (+3500)  sched_switch:         stress:3142 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14544.508694552: (+24056) sched_wakeup:         ksoftirqd/1:18 [120]<CANT FIND FIELD success> CPU:001
    kworker/1:1H-91    [001] 14544.508747293: (+52741) sched_switch:         kworker/1:1H:91 [100] D ==> ksoftirqd/1:18 [120]
     ksoftirqd/1-18    [001] 14544.508790570: (+43277) sched_switch:         ksoftirqd/1:18 [120] S ==> stress:3142 [120]
          stress-3142  [001] 14544.515963311: (+7172741) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
          stress-3142  [001] 14544.515974904: (+11593) sched_switch:         stress:3142 [120] R ==> ngrok:517 [120]
           ngrok-517   [001] 14544.516013718: (+38814) sched_switch:         ngrok:517 [120] S ==> stress:3142 [120]
          stress-3142  [001] 14544.521895978: (+5882260) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3142  [001] 14544.521906904: (+10926) sched_switch:         stress:3142 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14544.521946885: (+39981) sched_switch:         kworker/1:1H:91 [100] R ==> stress:3142 [120]
          stress-3142  [001] 14544.521952589: (+5704)  sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3142  [001] 14544.521956311: (+3722)  sched_switch:         stress:3142 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14544.521986681: (+30370) sched_wakeup:         ksoftirqd/1:18 [120]<CANT FIND FIELD success> CPU:001
    kworker/1:1H-91    [001] 14544.522041237: (+54556) sched_switch:         kworker/1:1H:91 [100] D ==> ksoftirqd/1:18 [120]
     ksoftirqd/1-18    [001] 14544.522073830: (+32593) sched_switch:         ksoftirqd/1:18 [120] S ==> stress:3142 [120]
          stress-3142  [001] 14544.535252830: (+13179000) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3142  [001] 14544.535261496: (+8666)  sched_switch:         stress:3142 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14544.535287274: (+25778) sched_switch:         kworker/1:1H:91 [100] R ==> stress:3142 [120]
          stress-3142  [001] 14544.535291441: (+4167)  sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3142  [001] 14544.535294792: (+3351)  sched_switch:         stress:3142 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14544.535313385: (+18593) sched_wakeup:         ksoftirqd/1:18 [120]<CANT FIND FIELD success> CPU:001
    kworker/1:1H-91    [001] 14544.535354200: (+40815) sched_switch:         kworker/1:1H:91 [100] D ==> ksoftirqd/1:18 [120]
     ksoftirqd/1-18    [001] 14544.535371941: (+17741) sched_switch:         ksoftirqd/1:18 [120] S ==> stress:3142 [120]
          stress-3142  [001] 14544.548576107: (+13204166) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3142  [001] 14544.548583570: (+7463)  sched_switch:         stress:3142 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14544.548610218: (+26648) sched_switch:         kworker/1:1H:91 [100] R ==> stress:3142 [120]
          stress-3142  [001] 14544.548615348: (+5130)  sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
          stress-3142  [001] 14544.548619070: (+3722)  sched_switch:         stress:3142 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14544.548639015: (+19945) sched_wakeup:         ksoftirqd/1:18 [120]<CANT FIND FIELD success> CPU:001
    kworker/1:1H-91    [001] 14544.548679366: (+40351) sched_switch:         kworker/1:1H:91 [100] D ==> ksoftirqd/1:18 [120]
     ksoftirqd/1-18    [001] 14544.548703144: (+23778) sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:001
     ksoftirqd/1-18    [001] 14544.548708311: (+5167)  sched_switch:         ksoftirqd/1:18 [120] S ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [001] 14544.548726218: (+17907) sched_wakeup:         kworker/1:2H:2882 [100]<CANT FIND FIELD success> CPU:001
    kworker/u8:1-2871  [001] 14544.549523163: (+796945) sched_wakeup:         stress:3144 [120]<CANT FIND FIELD success> CPU:001
    kworker/u8:1-2871  [001] 14544.549541959: (+18796) sched_switch:         kworker/u8:1:2871 [120] W ==> kworker/1:2H:2882 [100]
    kworker/1:2H-2882  [001] 14544.549549015: (+7056)  sched_switch:         kworker/1:2H:2882 [100] W ==> stress:3144 [120]
          stress-3144  [001] 14544.549559996: (+10981) sched_wakeup:         stress:3141 [120]<CANT FIND FIELD success> CPU:001
          stress-3144  [001] 14544.549566348: (+6352)  sched_switch:         stress:3144 [120] D ==> stress:3141 [120]
          stress-3141  [001] 14544.549576126: (+9778)  sched_wakeup:         stress:3138 [120]<CANT FIND FIELD success> CPU:001
          stress-3141  [001] 14544.549579404: (+3278)  sched_switch:         stress:3141 [120] D ==> stress:3138 [120]
          stress-3138  [001] 14544.549587496: (+8092)  sched_switch:         stress:3138 [120] D ==> stress:3142 [120]
