cpus=4
          stress-3139  [002] 14544.346612275:          sched_switch:         stress:3139 [120] R ==> stress:3143 [120]
          stress-3146  [002] 14544.509327848: (+8148)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509332144: (+4296)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509334237: (+2093)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509340848: (+6611)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509344848: (+4000)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509347422: (+2574)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509352052: (+4630)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509355700: (+3648)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509358163: (+2463)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509362756: (+4593)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509367515: (+4759)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509369700: (+2185)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509377830: (+8130)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509382552: (+4722)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509384922: (+2370)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509390385: (+5463)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509395015: (+4630)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509397293: (+2278)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509402422: (+5129)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509407644: (+5222)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509409756: (+2112)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509415052: (+5296)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509420256: (+5204)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509422385: (+2129)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509431237: (+8852)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509435644: (+4407)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509437718: (+2074)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509442996: (+5278)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509448070: (+5074)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509450700: (+2630)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509455607: (+4907)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509460737: (+5130)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509462941: (+2204)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509468200: (+5259)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509473293: (+5093)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509475459: (+2166)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509484626: (+9167)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509489793: (+5167)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509492941: (+3148)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509497756: (+4815)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509501404: (+3648)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509503978: (+2574)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509508570: (+4592)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509512959: (+4389)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509515256: (+2297)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509520274: (+5018)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509525478: (+5204)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509527533: (+2055)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509535256: (+7723)  sched_switch:         stress:3146 [120] R ==> stress:3145 [120]
          stress-3145  [002] 14544.509538885: (+3629)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509541459: (+2574)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509545700: (+4241)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509549922: (+4222)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509552015: (+2093)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509556459: (+4444)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509561200: (+4741)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509563385: (+2185)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509568441: (+5056)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509573496: (+5055)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509575644: (+2148)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509582441: (+6797)  sched_switch:         stress:3146 [120] R ==> stress:3145 [120]
          stress-3145  [002] 14544.509585959: (+3518)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509589089: (+3130)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509593478: (+4389)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509597052: (+3574)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509599570: (+2518)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509604552: (+4982)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509608774: (+4222)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509610885: (+2111)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509616311: (+5426)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509621126: (+4815)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509623237: (+2111)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
          stress-3146  [002] 14544.509631756: (+8519)  sched_switch:         stress:3146 [120] D ==> stress:3145 [120]
          stress-3145  [002] 14544.509636404: (+4648)  sched_wakeup:         stress:3146 [120]<CANT FIND FIELD success> CPU:002
          stress-3145  [002] 14544.509638811: (+2407)  sched_switch:         stress:3145 [120] R ==> stress:3146 [120]
