CPU 3 is empty
cpus=4
 task_client_A.a-2395  [000]  9093.707361901:          sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
    kworker/u9:3-569   [000]  9095.268971117: (+18315) sched_switch:         kworker/u9:3:569 [100] D ==> kworker/0:2:2219 [120]
     kworker/0:2-2219  [000]  9095.268983339: (+12222) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:2-2219  [000]  9095.268986728: (+3389)  sched_switch:         kworker/0:2:2219 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9095.269028747: (+42019) sched_wakeup:         systemd-timesyn:2344 [120]<CANT FIND FIELD success> CPU:000
    kworker/u9:3-569   [000]  9095.269050932: (+22185) sched_switch:         kworker/u9:3:569 [100] D ==> systemd-timesyn:2344 [120]
 systemd-timesyn-2344  [000]  9095.269065506: (+14574) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 systemd-timesyn-2344  [000]  9095.269369673: (+304167) sched_wakeup:         dbus-daemon:385 [120]<CANT FIND FIELD success> CPU:000
 systemd-timesyn-2344  [000]  9095.269399210: (+29537) sched_switch:         systemd-timesyn:2344 [120] S ==> dbus-daemon:385 [120]
     dbus-daemon-385   [000]  9095.269552284: (+153074) sched_switch:         dbus-daemon:385 [120] S ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9095.269565043: (+12759) sched_switch:         kworker/u9:3:569 [100] W ==> kworker/0:2:2219 [120]
     kworker/0:2-2219  [000]  9095.269574950: (+9907)  sched_switch:         kworker/0:2:2219 [120] W ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9095.281226987: (+11652037) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9095.281238395: (+11408) sched_wakeup:         kworker/0:2:2219 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9095.281247024: (+8629)  sched_switch:         task_client_A.a:2395 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000]  9095.281253598: (+6574)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> kworker/0:2:2219 [120]
     kworker/0:2-2219  [000]  9095.281268006: (+14408) sched_switch:         kworker/0:2:2219 [120] W ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9095.297222450: (+15954444) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9095.297227691: (+5241)  sched_switch:         task_client_A.a:2395 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000]  9095.297244673: (+16982) sched_switch:         brcmf_wdog/mmc1:237 [120] D ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9095.297257284: (+12611) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9095.297261358: (+4074)  sched_switch:         task_client_A.a:2395 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000]  9095.297267784: (+6426)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9095.533246023: (+235978239) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9095.533251023: (+5000)  sched_switch:         task_client_A.a:2395 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000]  9095.533260394: (+9371)  sched_switch:         kworker/0:1H:67 [100] W ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9095.862452967: (+329192573) sched_wakeup:         kworker/0:2:2219 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9095.862456930: (+3963)  sched_switch:         task_client_A.a:2395 [120] R ==> kworker/0:2:2219 [120]
     kworker/0:2-2219  [000]  9095.862466152: (+9222)  sched_switch:         kworker/0:2:2219 [120] W ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9095.981335559: (+118869407) sched_wakeup:         kworker/0:2:2219 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9095.981339800: (+4241)  sched_switch:         task_client_A.a:2395 [120] R ==> kworker/0:2:2219 [120]
     kworker/0:2-2219  [000]  9095.981351022: (+11222) sched_switch:         kworker/0:2:2219 [120] W ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9096.525445483: (+544094461) sched_wakeup:         kworker/0:2:2219 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9096.525449149: (+3666)  sched_switch:         task_client_A.a:2395 [120] R ==> kworker/0:2:2219 [120]
     kworker/0:2-2219  [000]  9096.525469723: (+20574) sched_wakeup:         kworker/0:2:2219 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:2-2219  [000]  9096.525487872: (+18149) sched_switch:         kworker/0:2:2219 [120] W ==> task_client_A.a:2395 [120]
 task_client_A.a-2395  [000]  9096.973533018: (+448045146) sched_wakeup:         kworker/0:2:2219 [120]<CANT FIND FIELD success> CPU:000
 task_client_A.a-2395  [000]  9096.973536925: (+3907)  sched_switch:         task_client_A.a:2395 [120] R ==> kworker/0:2:2219 [120]
     kworker/0:2-2219  [000]  9096.973547703: (+10778) sched_switch:         kworker/0:2:2219 [120] W ==> task_client_A.a:2395 [120]
