CPU 3 is empty
cpus=4
   task_server.a-2393  [002]  9093.707135419:          sched_wakeup:         kworker/u8:2:2035 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9094.061936103: (+9253629) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9094.061939566: (+3463)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9094.061949399: (+9833)  sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9094.101719992: (+39770593) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9094.101723307: (+3315)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9094.101738177: (+14870) sched_switch:         ngrok:517 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9094.101863288: (+125111) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9094.101866455: (+3167)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9094.101875066: (+8611)  sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9094.102786696: (+911630) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9094.102789881: (+3185)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9094.102800770: (+10889) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
           ngrok-517   [002]  9094.102812399: (+11629) sched_switch:         ngrok:517 [120] S ==> ngrok:552 [120]
           ngrok-552   [002]  9094.102821159: (+8760)  sched_switch:         ngrok:552 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9094.111925251: (+9104092) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9094.111928677: (+3426)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9094.111938270: (+9593)  sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9094.151850288: (+39912018) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9094.151852603: (+2315)  sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9094.151855973: (+3370)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9094.151865010: (+9037)  sched_switch:         ngrok:515 [120] S ==> ngrok:517 [120]
           ngrok-517   [002]  9094.151877547: (+12537) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
           ngrok-517   [002]  9094.151887547: (+10000) sched_switch:         ngrok:517 [120] S ==> ngrok:552 [120]
           ngrok-552   [002]  9094.151897547: (+10000) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
           ngrok-552   [002]  9094.151904251: (+6704)  sched_switch:         ngrok:552 [120] S ==> ngrok:517 [120]
           ngrok-517   [002]  9094.151923103: (+18852) sched_switch:         ngrok:517 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9094.161913881: (+9990778) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9094.161917158: (+3277)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9094.161926825: (+9667)  sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9094.177483658: (+15556833) sched_wakeup:         kworker/2:2:2220 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9094.177492751: (+9093)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:2:2220 [120]
     kworker/2:2-2220  [002]  9094.177502380: (+9629)  sched_switch:         kworker/2:2:2220 [120] W ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9094.189479955: (+11977575) sched_wakeup:         kworker/2:2:2220 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9094.189483510: (+3555)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:2:2220 [120]
     kworker/2:2-2220  [002]  9094.189494547: (+11037) sched_switch:         kworker/2:2:2220 [120] D ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9094.189502529: (+7982)  sched_wakeup:         kworker/2:2:2220 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9094.189504992: (+2463)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:2:2220 [120]
     kworker/2:2-2220  [002]  9094.189514510: (+9518)  sched_switch:         kworker/2:2:2220 [120] D ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9094.189521103: (+6593)  sched_wakeup:         kworker/2:2:2220 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9094.189523510: (+2407)  sched_switch:         task_server.a:2393 [120] R ==> kworker/2:2:2220 [120]
     kworker/2:2-2220  [002]  9094.189533047: (+9537)  sched_switch:         kworker/2:2:2220 [120] W ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9094.200961492: (+11428445) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9094.200964825: (+3333)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9094.200979677: (+14852) sched_switch:         ngrok:517 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9094.201839843: (+860166) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9094.201843158: (+3315)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9094.201852492: (+9334)  sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9094.202027917: (+175425) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9094.202030936: (+3019)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9094.202042158: (+11222) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:002
           ngrok-517   [002]  9094.202054436: (+12278) sched_switch:         ngrok:517 [120] S ==> ngrok:552 [120]
           ngrok-552   [002]  9094.202063454: (+9018)  sched_switch:         ngrok:552 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9094.211901788: (+9838334) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9094.211905195: (+3407)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9094.211914825: (+9630)  sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9094.228582547: (+16667722) sched_wakeup:         trace-cmd:2420 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9094.228585788: (+3241)  sched_switch:         task_server.a:2393 [120] R ==> trace-cmd:2420 [120]
       trace-cmd-2420  [002]  9094.228596214: (+10426) sched_switch:         trace-cmd:2420 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9094.251092621: (+22496407) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9094.251096065: (+3444)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:517 [120]
           ngrok-517   [002]  9094.251117102: (+21037) sched_switch:         ngrok:517 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9094.251829139: (+712037) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9094.251832436: (+3297)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [002]  9094.251844584: (+12148) sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [002]  9094.252164621: (+320037) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2393  [002]  9094.252167658: (+3037)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:517 [120]
