CPU 3 is empty
cpus=4
       trace-cmd-2986  [002] 14461.426516943:          sched_switch:         trace-cmd:2986 [120] S ==> trace-cmd:2991 [120]
           ngrok-515   [002] 14462.365806495: (+9482)  sched_switch:         ngrok:515 [120] S ==> task_server.a:2961 [120]
   task_server.a-2961  [002] 14462.381376013: (+15569518) sched_wakeup:         kworker/2:0:2873 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2961  [002] 14462.381381217: (+5204)  sched_switch:         task_server.a:2961 [120] R ==> kworker/2:0:2873 [120]
     kworker/2:0-2873  [002] 14462.381391161: (+9944)  sched_switch:         kworker/2:0:2873 [120] W ==> task_server.a:2961 [120]
   task_server.a-2961  [002] 14462.405748939: (+24357778) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2961  [002] 14462.405752550: (+3611)  sched_switch:         task_server.a:2961 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14462.405762254: (+9704)  sched_switch:         ngrok:515 [120] S ==> task_server.a:2961 [120]
   task_server.a-2961  [002] 14462.415816309: (+10054055) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2961  [002] 14462.415819476: (+3167)  sched_switch:         task_server.a:2961 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14462.415829180: (+9704)  sched_switch:         ngrok:515 [120] S ==> task_server.a:2961 [120]
   task_server.a-2961  [002] 14462.455769291: (+39940111) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2961  [002] 14462.455772569: (+3278)  sched_switch:         task_server.a:2961 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14462.455781550: (+8981)  sched_switch:         ngrok:515 [120] S ==> task_server.a:2961 [120]
   task_server.a-2961  [002] 14462.465836365: (+10054815) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-2961  [002] 14462.465839661: (+3296)  sched_switch:         task_server.a:2961 [120] R ==> ngrok:515 [120]
           ngrok-515   [002] 14462.465849254: (+9593)  sched_switch:         ngrok:515 [120] S ==> task_server.a:2961 [120]
   task_server.a-2961  [002] 14462.505790902: (+39941648) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:002
