CPU 3 is empty
cpus=4
 task_client_A.a-2963  [001] 14461.505053850:          sched_wakeup:         trace-cmd:2988 [120]<CANT FIND FIELD success> CPU:001
           ngrok-552   [001] 14463.506997046: (+10815) sched_switch:         ngrok:552 [120] S ==> ngrok:517 [120]
           ngrok-517   [001] 14463.507007639: (+10593) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
           ngrok-517   [001] 14463.507014379: (+6740)  sched_switch:         ngrok:517 [120] S ==> ngrok:552 [120]
           ngrok-552   [001] 14463.507034083: (+19704) sched_switch:         ngrok:552 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14463.556101731: (+49067648) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14463.556105546: (+3815)  sched_switch:         task_client_A.a:2963 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14463.556119509: (+13963) sched_switch:         ngrok:552 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14463.557168750: (+1049241) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14463.557172453: (+3703)  sched_switch:         task_client_A.a:2963 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14463.557185472: (+13019) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
           ngrok-552   [001] 14463.557197027: (+11555) sched_switch:         ngrok:552 [120] S ==> ngrok:517 [120]
           ngrok-517   [001] 14463.557207268: (+10241) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
           ngrok-517   [001] 14463.557213916: (+6648)  sched_switch:         ngrok:517 [120] S ==> ngrok:552 [120]
           ngrok-552   [001] 14463.557234157: (+20241) sched_switch:         ngrok:552 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14463.605301249: (+48067092) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14463.605305083: (+3834)  sched_switch:         task_client_A.a:2963 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14463.605319027: (+13944) sched_switch:         ngrok:552 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14463.606368397: (+1049370) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14463.606372009: (+3612)  sched_switch:         task_client_A.a:2963 [120] R ==> ngrok:552 [120]
           ngrok-552   [001] 14463.606385323: (+13314) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:001
           ngrok-552   [001] 14463.606395509: (+10186) sched_switch:         ngrok:552 [120] S ==> ngrok:517 [120]
           ngrok-517   [001] 14463.606405472: (+9963)  sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:001
           ngrok-517   [001] 14463.606412175: (+6703)  sched_switch:         ngrok:517 [120] S ==> ngrok:552 [120]
           ngrok-552   [001] 14463.606431583: (+19408) sched_switch:         ngrok:552 [120] S ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14463.609879472: (+3447889) sched_wakeup:         kworker/1:2:2867 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14463.609884657: (+5185)  sched_switch:         task_client_A.a:2963 [120] R ==> kworker/1:2:2867 [120]
