CPU 3 is empty
cpus=4
       trace-cmd-2457  [001]  9116.195626204:          sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:001
    kworker/1:1H-91    [001]  9116.260292370: (+26648) sched_switch:         kworker/1:1H:91 [100] D ==> stress:2466 [120]
          stress-2466  [001]  9116.260311407: (+19037) sched_switch:         stress:2466 [120] D ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9116.264036926: (+3725519) sched_wakeup:         ngrok:515 [120]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9116.264040537: (+3611)  sched_switch:         task_server.a:2393 [120] R ==> ngrok:515 [120]
           ngrok-515   [001]  9116.264063426: (+22889) sched_switch:         ngrok:515 [120] S ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9116.265584296: (+1520870) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9116.265589574: (+5278)  sched_switch:         task_server.a:2393 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001]  9116.265616481: (+26907) sched_switch:         kworker/1:1H:91 [100] R ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9116.265622333: (+5852)  sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9116.265625241: (+2908)  sched_switch:         task_server.a:2393 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001]  9116.265643963: (+18722) sched_wakeup:         ksoftirqd/1:18 [120]<CANT FIND FIELD success> CPU:001
    kworker/1:1H-91    [001]  9116.265664630: (+20667) sched_switch:         kworker/1:1H:91 [100] D ==> ksoftirqd/1:18 [120]
     ksoftirqd/1-18    [001]  9116.265699926: (+35296) sched_wakeup:         stress:2466 [120]<CANT FIND FIELD success> CPU:001
     ksoftirqd/1-18    [001]  9116.265713537: (+13611) sched_switch:         ksoftirqd/1:18 [120] S ==> stress:2466 [120]
          stress-2466  [001]  9116.265723055: (+9518)  sched_switch:         stress:2466 [120] D ==> task_server.a:2393 [120]
   task_server.a-2393  [001]  9116.267681093: (+1958038) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
   task_server.a-2393  [001]  9116.267684093: (+3000)  sched_switch:         task_server.a:2393 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001]  9116.267702370: (+18277) sched_switch:         kworker/1:1H:91 [100] D ==> task_server.a:2393 [120]
