CPU 3 is empty
cpus=4
       trace-cmd-2457  [001]  9116.195626204:          sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-2397  [000]  9116.199326130: (+3741)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.199334945: (+8815)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.199343593: (+8648)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.199347148: (+3555)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.199361111: (+13963) sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.199370908: (+9797)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.199375519: (+4611)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.199384352: (+8833)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.199392982: (+8630)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.199397019: (+4037)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.199406167: (+9148)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.199414630: (+8463)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.199418204: (+3574)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.199427167: (+8963)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.199435871: (+8704)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.199439500: (+3629)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.199448389: (+8889)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.199457130: (+8741)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.199460815: (+3685)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.199469537: (+8722)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.199477908: (+8371)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.199481611: (+3703)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.199495334: (+13723) sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
 task_client_B.a-2397  [000]  9116.199504056: (+8722)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2397  [000]  9116.199507834: (+3778)  sched_switch:         task_client_B.a:2397 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000]  9116.199516982: (+9148)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_B.a:2397 [120]
