CPU 3 is empty
cpus=4
          stress-3035  [001] 14483.547264081:          sched_wakeup:         kworker/u8:2:2863 [120]<CANT FIND FIELD success> CPU:001
          stress-3029  [002] 14483.567747173: (+13241) sched_wakeup:         stress:3036 [120]<CANT FIND FIELD success> CPU:002
    kworker/u8:2-2863  [001] 14483.567755951: (+8778)  sched_switch:         kworker/u8:2:2863 [120] W ==> task_client_A.a:2963 [120]
          stress-3030  [000] 14483.567868192: (+112241) sched_switch:         stress:3030 [120] R ==> task_client_B.a:2965 [120]
 task_client_A.a-2963  [001] 14483.567880895: (+12703) sched_wakeup:         rcu_preempt:13 [120]<CANT FIND FIELD success> CPU:001
 task_client_A.a-2963  [001] 14483.567885155: (+4260)  sched_switch:         task_client_A.a:2963 [120] R ==> rcu_preempt:13 [120]
     rcu_preempt-13    [001] 14483.567902544: (+17389) sched_switch:         rcu_preempt:13 [120] W ==> task_client_A.a:2963 [120]
 task_client_A.a-2963  [001] 14483.570647692: (+2745148) sched_switch:         task_client_A.a:2963 [120] R ==> stress:3033 [120]
 task_client_B.a-2965  [000] 14483.571194803: (+547111) sched_switch:         task_client_B.a:2965 [120] R ==> trace-cmd:3040 [120]
          stress-3029  [002] 14483.571888192: (+693389) sched_wakeup:         kworker/2:2:2856 [120]<CANT FIND FIELD success> CPU:002
          stress-3029  [002] 14483.571898747: (+10555) sched_switch:         stress:3029 [120] R ==> kworker/2:2:2856 [120]
     kworker/2:2-2856  [002] 14483.571934414: (+35667) sched_switch:         kworker/2:2:2856 [120] W ==> task_server.a:2961 [120]
       trace-cmd-3040  [000] 14483.572171155: (+236741) sched_switch:         trace-cmd:3040 [120] S ==> task_client_B.a:2965 [120]
 task_client_B.a-2965  [000] 14483.573049173: (+878018) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2965  [000] 14483.573055118: (+5945)  sched_switch:         task_client_B.a:2965 [120] R ==> kworker/0:1H:67 [100]
    kworker/0:1H-67    [000] 14483.573079451: (+24333) sched_wakeup:         kworker/0:1H:67 [100]<CANT FIND FIELD success> CPU:000
    kworker/0:1H-67    [000] 14483.573101710: (+22259) sched_switch:         kworker/0:1H:67 [100] W ==> task_client_B.a:2965 [120]
          stress-3033  [001] 14483.573104321: (+2611)  sched_wakeup:         kworker/u8:2:2863 [120]<CANT FIND FIELD success> CPU:001
          stress-3033  [001] 14483.573114710: (+10389) sched_switch:         stress:3033 [120] R ==> kworker/u8:2:2863 [120]
    kworker/u8:2-2863  [001] 14483.573161377: (+46667) sched_switch:         kworker/u8:2:2863 [120] W ==> task_client_A.a:2963 [120]
 task_client_B.a-2965  [000] 14483.573333155: (+171778) sched_switch:         task_client_B.a:2965 [120] R ==> trace-cmd:3041 [120]
       trace-cmd-3041  [000] 14483.573848451: (+515296) sched_switch:         trace-cmd:3041 [120] S ==> task_client_B.a:2965 [120]
 task_client_B.a-2965  [000] 14483.574440932: (+592481) sched_switch:         task_client_B.a:2965 [120] R ==> stress:3030 [120]
 task_client_A.a-2963  [001] 14483.574962395: (+521463) sched_switch:         task_client_A.a:2963 [120] R ==> stress:3035 [120]
