CPU 3 is empty
cpus=4
 task_client_B.a-3362  [001] 14786.320756129:          sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:001
    kworker/u8:1-2871  [001] 14786.379033777: (+4852)  sched_switch:         kworker/u8:1:2871 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14786.379052500: (+18723) sched_switch:         kworker/1:1H:91 [100] D ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [001] 14786.379077648: (+25148) sched_switch:         kworker/u8:1:2871 [120] W ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.380902185: (+1824537) sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
 task_client_B.a-3362  [001] 14786.380905444: (+3259)  sched_switch:         task_client_B.a:3362 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14786.380918000: (+12556) sched_switch:         kworker/1:1H:91 [100] D ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.380922370: (+4370)  sched_wakeup:         kworker/1:1H:91 [100]<CANT FIND FIELD success> CPU:001
 task_client_B.a-3362  [001] 14786.380924925: (+2555)  sched_switch:         task_client_B.a:3362 [120] R ==> kworker/1:1H:91 [100]
    kworker/1:1H-91    [001] 14786.380938851: (+13926) sched_switch:         kworker/1:1H:91 [100] W ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.380963074: (+24223) sched_wakeup:         stress:3428 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-3362  [001] 14786.380972666: (+9592)  sched_switch:         task_client_B.a:3362 [120] R ==> stress:3428 [120]
          stress-3428  [001] 14786.380979259: (+6593)  sched_wakeup:         stress:3433 [120]<CANT FIND FIELD success> CPU:001
          stress-3428  [001] 14786.381014666: (+35407) sched_switch:         stress:3428 [120] D ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.381048388: (+33722) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3433 [120]
          stress-3433  [001] 14786.381075888: (+27500) sched_switch:         stress:3433 [120] D ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.381097388: (+21500) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3429 [120]
          stress-3429  [001] 14786.385324555: (+4227167) sched_switch:         stress:3429 [120] R ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.386993000: (+1668445) sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-3362  [001] 14786.387004500: (+11500) sched_switch:         task_client_B.a:3362 [120] R ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [001] 14786.387098388: (+93888) sched_switch:         kworker/u8:1:2871 [120] W ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.387760296: (+661908) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3432 [120]
          stress-3432  [001] 14786.389299796: (+1539500) sched_wakeup:         stress:3428 [120]<CANT FIND FIELD success> CPU:001
          stress-3432  [001] 14786.389309740: (+9944)  sched_switch:         stress:3432 [120] R ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.390127962: (+818222) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3428 [120]
          stress-3428  [001] 14786.390135796: (+7834)  sched_wakeup:         stress:3433 [120]<CANT FIND FIELD success> CPU:001
          stress-3428  [001] 14786.390164833: (+29037) sched_switch:         stress:3428 [120] D ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.390180611: (+15778) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3433 [120]
          stress-3433  [001] 14786.390211925: (+31314) sched_switch:         stress:3433 [120] D ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.390232055: (+20130) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3426 [120]
          stress-3426  [001] 14786.393326370: (+3094315) sched_switch:         stress:3426 [120] R ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.394938999: (+1612629) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3427 [120]
          stress-3427  [001] 14786.397307074: (+2368075) sched_switch:         stress:3427 [120] R ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.397365944: (+58870) sched_wakeup:         stress:3433 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-3362  [001] 14786.397367462: (+1518)  sched_wakeup:         stress:3428 [120]<CANT FIND FIELD success> CPU:001
 task_client_B.a-3362  [001] 14786.398529351: (+1161889) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3433 [120]
          stress-3433  [001] 14786.398542333: (+12982) sched_switch:         stress:3433 [120] D ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.398549240: (+6907)  sched_switch:         task_client_B.a:3362 [120] R ==> stress:3428 [120]
          stress-3428  [001] 14786.398559277: (+10037) sched_switch:         stress:3428 [120] D ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.398566092: (+6815)  sched_switch:         task_client_B.a:3362 [120] R ==> stress:3432 [120]
          stress-3432  [001] 14786.401306536: (+2740444) sched_switch:         stress:3432 [120] R ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.402684536: (+1378000) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3427 [120]
          stress-3427  [001] 14786.405305925: (+2621389) sched_switch:         stress:3427 [120] R ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.406612462: (+1306537) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3426 [120]
          stress-3426  [001] 14786.409325703: (+2713241) sched_switch:         stress:3426 [120] R ==> task_client_B.a:3362 [120]
 task_client_B.a-3362  [001] 14786.410649185: (+1323482) sched_switch:         task_client_B.a:3362 [120] R ==> stress:3430 [120]
          stress-3430  [001] 14786.413307851: (+2658666) sched_switch:         stress:3430 [120] R ==> task_client_B.a:3362 [120]
