CPU 3 is empty
cpus=4
       trace-cmd-3422  [002] 14786.320775407:          sched_switch:         trace-cmd:3422 [120] S ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.467281592: (+1971500) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-3358  [002] 14786.467285221: (+3629)  sched_switch:         task_server.a:3358 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14786.467302740: (+17519) sched_switch:         ngrok:555 [120] S ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.468350962: (+1048222) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-3358  [002] 14786.468354518: (+3556)  sched_switch:         task_server.a:3358 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14786.468369258: (+14740) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
           ngrok-555   [002] 14786.468380314: (+11056) sched_switch:         ngrok:555 [120] S ==> ngrok:517 [120]
           ngrok-517   [002] 14786.468396944: (+16630) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
           ngrok-517   [002] 14786.468408573: (+11629) sched_switch:         ngrok:517 [120] S ==> ngrok:555 [120]
           ngrok-555   [002] 14786.468435203: (+26630) sched_switch:         ngrok:555 [120] S ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.472083092: (+3647889) sched_switch:         task_server.a:3358 [120] R ==> stress:3425 [120]
          stress-3425  [002] 14786.477322221: (+5239129) sched_switch:         stress:3425 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.485104555: (+7782334) sched_switch:         task_server.a:3358 [120] R ==> stress:3424 [120]
          stress-3424  [002] 14786.489356721: (+4252166) sched_switch:         stress:3424 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.495834703: (+6477982) sched_switch:         task_server.a:3358 [120] R ==> stress:3424 [120]
          stress-3424  [002] 14786.501315592: (+5480889) sched_switch:         stress:3424 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.505647703: (+4332111) sched_switch:         task_server.a:3358 [120] R ==> stress:3425 [120]
          stress-3425  [002] 14786.509325647: (+3677944) sched_wakeup:         kworker/2:1:3243 [120]<CANT FIND FIELD success> CPU:002
          stress-3425  [002] 14786.509335184: (+9537)  sched_switch:         stress:3425 [120] R ==> kworker/2:1:3243 [120]
     kworker/2:1-3243  [002] 14786.509362740: (+27556) sched_switch:         kworker/2:1:3243 [120] W ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.512272425: (+2909685) sched_switch:         task_server.a:3358 [120] R ==> stress:3432 [120]
          stress-3432  [002] 14786.517314036: (+5041611) sched_switch:         stress:3432 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.517491147: (+177111) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-3358  [002] 14786.517495129: (+3982)  sched_switch:         task_server.a:3358 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14786.517534518: (+39389) sched_switch:         ngrok:555 [120] S ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.518578851: (+1044333) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-3358  [002] 14786.518582332: (+3481)  sched_switch:         task_server.a:3358 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14786.518605962: (+23630) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
           ngrok-555   [002] 14786.518629110: (+23148) sched_switch:         ngrok:555 [120] S ==> ngrok:517 [120]
           ngrok-517   [002] 14786.518644425: (+15315) sched_switch:         ngrok:517 [120] S ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.521419703: (+2775278) sched_switch:         task_server.a:3358 [120] R ==> stress:3428 [120]
          stress-3428  [002] 14786.525326055: (+3906352) sched_switch:         stress:3428 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.528570925: (+3244870) sched_switch:         task_server.a:3358 [120] R ==> stress:3425 [120]
          stress-3425  [002] 14786.533313443: (+4742518) sched_switch:         stress:3425 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.537090536: (+3777093) sched_switch:         task_server.a:3358 [120] R ==> stress:3424 [120]
          stress-3424  [002] 14786.541312277: (+4221741) sched_switch:         stress:3424 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.544726832: (+3414555) sched_switch:         task_server.a:3358 [120] R ==> stress:3428 [120]
          stress-3428  [002] 14786.549320684: (+4593852) sched_switch:         stress:3428 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.553130610: (+3809926) sched_switch:         task_server.a:3358 [120] R ==> stress:3432 [120]
          stress-3432  [002] 14786.557320777: (+4190167) sched_switch:         stress:3432 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.560745962: (+3425185) sched_switch:         task_server.a:3358 [120] R ==> stress:3425 [120]
          stress-3425  [002] 14786.565325017: (+4579055) sched_switch:         stress:3425 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.567687684: (+2362667) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-3358  [002] 14786.567692091: (+4407)  sched_switch:         task_server.a:3358 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14786.567735777: (+43686) sched_wakeup:         ngrok:517 [120]<CANT FIND FIELD success> CPU:002
           ngrok-555   [002] 14786.567758406: (+22629) sched_switch:         ngrok:555 [120] S ==> ngrok:517 [120]
           ngrok-517   [002] 14786.567779851: (+21445) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
           ngrok-517   [002] 14786.567792925: (+13074) sched_switch:         ngrok:517 [120] S ==> ngrok:555 [120]
           ngrok-555   [002] 14786.567819091: (+26166) sched_switch:         ngrok:555 [120] S ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.569265499: (+1446408) sched_switch:         task_server.a:3358 [120] R ==> stress:3424 [120]
          stress-3424  [002] 14786.573315036: (+4049537) sched_switch:         stress:3424 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.576549628: (+3234592) sched_switch:         task_server.a:3358 [120] R ==> stress:3432 [120]
          stress-3432  [002] 14786.581320258: (+4770630) sched_switch:         stress:3432 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.585291054: (+3970796) sched_switch:         task_server.a:3358 [120] R ==> stress:3428 [120]
          stress-3428  [002] 14786.589328277: (+4037223) sched_switch:         stress:3428 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.592615073: (+3286796) sched_switch:         task_server.a:3358 [120] R ==> stress:3425 [120]
          stress-3425  [002] 14786.597327147: (+4712074) sched_switch:         stress:3425 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.601117221: (+3790074) sched_switch:         task_server.a:3358 [120] R ==> stress:3424 [120]
          stress-3424  [002] 14786.605315832: (+4198611) sched_switch:         stress:3424 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.608911091: (+3595259) sched_switch:         task_server.a:3358 [120] R ==> stress:3428 [120]
          stress-3428  [002] 14786.613329239: (+4418148) sched_switch:         stress:3428 [120] R ==> task_server.a:3358 [120]
   task_server.a-3358  [002] 14786.616876536: (+3547297) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
   task_server.a-3358  [002] 14786.616880721: (+4185)  sched_switch:         task_server.a:3358 [120] R ==> ngrok:555 [120]
           ngrok-555   [002] 14786.616919128: (+38407) sched_switch:         ngrok:555 [120] S ==> stress:3432 [120]
          stress-3432  [002] 14786.617961036: (+1041908) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:002
          stress-3432  [002] 14786.617964462: (+3426)  sched_switch:         stress:3432 [120] R ==> ngrok:555 [120]
