CPU 3 is empty
cpus=4
          stress-3431  [000] 14786.320974981:          sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321701815: (+8408)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321705352: (+3537)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321714389: (+9037)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321722740: (+8351)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321726389: (+3649)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321735148: (+8759)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321743463: (+8315)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321747092: (+3629)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321755889: (+8797)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321764333: (+8444)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321767926: (+3593)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321776778: (+8852)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321785222: (+8444)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321788815: (+3593)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321802629: (+13814) sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321811185: (+8556)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321814815: (+3630)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321823703: (+8888)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321832074: (+8371)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321835722: (+3648)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321844703: (+8981)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321853185: (+8482)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321856796: (+3611)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321865500: (+8704)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321873852: (+8352)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321877500: (+3648)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321886370: (+8870)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321894815: (+8445)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321898389: (+3574)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321907074: (+8685)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321915611: (+8537)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321919296: (+3685)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321933129: (+13833) sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321941870: (+8741)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321945666: (+3796)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321954463: (+8797)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321962796: (+8333)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321966481: (+3685)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321975537: (+9056)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.321986722: (+11185) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.321990426: (+3704)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.321999166: (+8740)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.322007685: (+8519)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.322011333: (+3648)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.322020222: (+8889)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.322028722: (+8500)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.322032278: (+3556)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.322041000: (+8722)  sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.322049389: (+8389)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
 task_client_A.a-3360  [000] 14786.322052981: (+3592)  sched_switch:         task_client_A.a:3360 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14786.322067500: (+14519) sched_switch:         kworker/u9:3:569 [100] D ==> task_client_A.a:3360 [120]
 task_client_A.a-3360  [000] 14786.322076407: (+8907)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
